Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.188607,Negligible,0.050351,Negligible,0.210360,Small
HE_Acc_X_std,0.989243,Large,0.940107,Large,0.049264,Negligible
HE_Acc_X_rms,-0.096817,Negligible,0.216902,Small,0.209313,Small
HE_Acc_X_dom_freq,-0.150735,Negligible,0.079584,Negligible,0.208781,Small
HE_Acc_X_spec_centroid,0.488119,Small,-0.244285,Small,-0.714124,Medium
HE_Acc_X_spec_power,1.008068,Large,0.868779,Large,0.010810,Negligible
HE_Acc_Y_mean,-0.155411,Negligible,0.334661,Small,0.417646,Small
HE_Acc_Y_std,0.227276,Small,0.190024,Negligible,-0.015892,Negligible
HE_Acc_Y_rms,0.066725,Negligible,0.059129,Negligible,-0.017831,Negligible
HE_Acc_Y_dom_freq,-0.066603,Negligible,0.207086,Small,0.273760,Small
HE_Acc_Y_spec_centroid,0.193013,Negligible,-0.212170,Small,-0.400680,Small
HE_Acc_Y_spec_power,0.247407,Small,0.147216,Negligible,-0.083757,Negligible
HE_Acc_Z_mean,0.618213,Medium,-0.174745,Negligible,-0.797511,Medium
HE_Acc_Z_std,0.784714,Medium,0.542981,Medium,-0.162400,Negligible
HE_Acc_Z_rms,0.766597,Medium,0.023945,Negligible,-0.726175,Medium
HE_Acc_Z_dom_freq,-0.111092,Negligible,0.166660,Negligible,0.268380,Small
HE_Acc_Z_spec_centroid,0.238949,Small,-0.182058,Negligible,-0.413549,Small
HE_Acc_Z_spec_power,0.704932,Medium,0.449867,Small,-0.167247,Negligible
HE_FreeAcc_X_mean,0.047925,Negligible,-0.507525,Medium,-0.819312,Large
HE_FreeAcc_X_std,0.449933,Small,0.459669,Small,0.008492,Negligible
HE_FreeAcc_X_rms,0.570030,Medium,0.366363,Small,-0.157147,Negligible
HE_FreeAcc_X_dom_freq,-0.935388,Large,0.545113,Medium,1.391320,Large
HE_FreeAcc_X_spec_centroid,0.016743,Negligible,-0.133524,Negligible,-0.153946,Negligible
HE_FreeAcc_X_spec_power,0.404524,Small,0.438748,Small,0.014525,Negligible
HE_FreeAcc_Y_mean,-0.062917,Negligible,0.278017,Small,0.292341,Small
HE_FreeAcc_Y_std,0.825932,Large,0.679154,Medium,0.031614,Negligible
HE_FreeAcc_Y_rms,0.589208,Medium,0.614718,Medium,0.111446,Negligible
HE_FreeAcc_Y_dom_freq,0.982541,Large,-0.195377,Negligible,-1.137688,Large
HE_FreeAcc_Y_spec_centroid,0.621359,Medium,-0.319287,Small,-0.923821,Large
HE_FreeAcc_Y_spec_power,0.944455,Large,0.635808,Medium,-0.083560,Negligible
HE_FreeAcc_Z_mean,0.204812,Small,0.325358,Small,0.137341,Negligible
