Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1623,0.2208,0.0005,0.0289,0.0716,0.1767,0.9200
Across_HE_vs_LF,100.0000,0.1733,0.2295,0.0013,0.0282,0.0697,0.2106,0.8312
Across_HE_vs_RF,100.0000,0.1690,0.2168,0.0005,0.0336,0.0820,0.1813,0.8389
Across_LB_vs_LF,100.0000,0.2367,0.2436,0.0004,0.0542,0.1367,0.3827,0.8547
Across_LB_vs_RF,100.0000,0.2251,0.2368,0.0001,0.0481,0.1179,0.3415,0.8570
Across_LF_vs_RF,100.0000,0.2925,0.3131,0.0010,0.0301,0.1157,0.5481,0.9392
Within_HE,1431.0000,0.1594,0.1971,0.0002,0.0291,0.0783,0.2095,1.0000
Within_LB,1431.0000,0.2253,0.2529,0.0001,0.0390,0.1021,0.3841,1.0000
Within_LF,1431.0000,0.2787,0.3048,0.0000,0.0477,0.1240,0.5668,1.0000
Within_RF,1431.0000,0.2748,0.3047,0.0002,0.0392,0.1144,0.5494,1.0000
