Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.386484,0.798763,0.000000,14.179558,9.521007,9.282859,0.430550,9.387686,1479,9.443901,0.916629,9.581242,5287,9.255218,0.493310,9.389482,1145
HE_Acc_X_std,HE,Acc,X_std,1.130267,0.550903,0.000000,3.805522,1.063647,1.568933,0.584174,1.578693,1479,1.030950,0.487341,0.977832,5287,1.022234,0.504105,0.980226,1145
HE_Acc_X_rms,HE,Acc,X_rms,9.470359,0.798356,0.000000,14.201111,9.594304,9.432564,0.431460,9.515091,1479,9.512384,0.917788,9.635659,5287,9.325128,0.493222,9.470796,1145
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,1.780241,0.776874,0.166667,8.333333,1.666667,1.714125,0.516402,1.833333,1482,1.828259,0.802477,1.833333,5288,1.644289,0.904754,1.666667,1147
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,5.604557,1.517949,0.000000,13.454407,5.499730,6.015652,1.405779,5.885786,1479,5.333376,1.504489,5.163852,5287,6.325714,1.356839,6.039341,1145
HE_Acc_X_spec_power,HE,Acc,X_spec_power,951.746883,909.455130,0.000000,8718.250762,681.076885,1687.169941,1139.464351,1500.358825,1479,782.796356,750.102479,575.611394,5287,781.922198,762.649035,578.426696,1145
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.271636,0.869498,-3.439307,6.395177,-0.312249,-0.331505,0.727398,-0.371700,1479,-0.193102,0.938821,-0.250896,5287,-0.556932,0.597232,-0.512937,1145
HE_Acc_Y_std,HE,Acc,Y_std,1.038646,0.419727,0.000000,3.343421,1.016934,1.120171,0.440887,1.071532,1479,1.015708,0.402285,0.990644,5287,1.039253,0.456264,1.077950,1145
HE_Acc_Y_rms,HE,Acc,Y_rms,1.323546,0.576991,0.000000,6.431073,1.243042,1.353995,0.504528,1.291626,1479,1.314882,0.618974,1.221963,5287,1.324220,0.448561,1.277004,1145
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.893057,0.564214,0.166667,6.833333,0.833333,0.898785,0.605131,0.833333,1482,0.914744,0.562654,0.833333,5288,0.785673,0.501409,0.833333,1147
