Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_dom_freq,2261.593832,0.000000,0.285519,Large,Yes
HE_FreeAcc_Y_dom_freq,1808.986030,0.000000,0.228328,Large,Yes
RF_FreeAcc_Y_spec_centroid,1646.508309,0.000000,0.208139,Large,Yes
RF_Acc_Y_spec_centroid,1646.508309,0.000000,0.208139,Large,Yes
LF_Acc_Y_mean,1638.104296,0.000000,0.206997,Large,Yes
LF_FreeAcc_Y_spec_centroid,1538.964335,0.000000,0.194454,Large,Yes
LF_Acc_Y_spec_centroid,1538.964335,0.000000,0.194454,Large,Yes
LF_Acc_Z_rms,1383.437373,0.000000,0.174777,Large,Yes
RF_Acc_Z_rms,1323.937164,0.000000,0.167313,Large,Yes
RF_Acc_Z_spec_centroid,1292.548138,0.000000,0.163340,Large,Yes
RF_FreeAcc_Z_spec_centroid,1292.548138,0.000000,0.163340,Large,Yes
LB_Acc_X_rms,1282.426288,0.000000,0.161854,Large,Yes
RF_Acc_Y_mean,1182.595686,0.000000,0.149424,Large,Yes
RF_FreeAcc_X_spec_power,1166.093981,0.000000,0.147335,Large,Yes
RF_Acc_X_spec_power,1166.093981,0.000000,0.147335,Large,Yes
RF_FreeAcc_X_std,1166.093819,0.000000,0.147335,Large,Yes
RF_Acc_X_std,1166.093819,0.000000,0.147335,Large,Yes
LF_FreeAcc_X_std,1157.208646,0.000000,0.146155,Large,Yes
LF_Acc_X_std,1157.208646,0.000000,0.146155,Large,Yes
LF_Acc_X_spec_power,1157.204560,0.000000,0.146154,Large,Yes
LF_FreeAcc_X_spec_power,1157.204560,0.000000,0.146154,Large,Yes
LB_Acc_X_spec_power,1154.244297,0.000000,0.145651,Large,Yes
LB_FreeAcc_X_std,1154.244297,0.000000,0.145651,Large,Yes
LB_Acc_X_std,1154.244297,0.000000,0.145651,Large,Yes
LB_FreeAcc_X_spec_power,1154.244297,0.000000,0.145651,Large,Yes
RF_FreeAcc_X_spec_centroid,1138.733571,0.000000,0.143872,Large,Yes
RF_Acc_X_spec_centroid,1138.733571,0.000000,0.143872,Large,Yes
LB_FreeAcc_X_rms,1130.716676,0.000000,0.142677,Large,Yes
LB_Acc_X_mean,1130.647041,0.000000,0.142668,Large,Yes
LF_Acc_Z_spec_centroid,1116.518394,0.000000,0.141007,Large,Yes
LF_FreeAcc_Z_spec_centroid,1116.518394,0.000000,0.141007,Large,Yes
LF_FreeAcc_X_rms,1105.388557,0.000000,0.139599,Medium,Yes
LF_FreeAcc_X_spec_centroid,1099.695093,0.000000,0.138878,Medium,Yes
LF_Acc_X_spec_centroid,1099.695093,0.000000,0.138878,Medium,Yes
RF_FreeAcc_X_rms,1088.635179,0.000000,0.137531,Medium,Yes
RF_Acc_Z_mean,1088.043614,0.000000,0.137456,Medium,Yes
