Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1653,0.2110,0.0002,0.0238,0.0796,0.2001,0.9115
Across_HE_vs_LF,100.0000,0.1700,0.2239,0.0021,0.0264,0.0802,0.2102,0.8166
Across_HE_vs_RF,100.0000,0.1686,0.2087,0.0002,0.0362,0.0880,0.2171,0.8174
Across_LB_vs_LF,100.0000,0.2543,0.2250,0.0034,0.0801,0.1986,0.3597,0.8326
Across_LB_vs_RF,100.0000,0.2469,0.2189,0.0018,0.0814,0.1807,0.3666,0.8328
Across_LF_vs_RF,100.0000,0.3246,0.2818,0.0039,0.0895,0.2261,0.5316,0.9378
Within_HE,1431.0000,0.1661,0.1947,0.0002,0.0355,0.0912,0.2143,1.0000
Within_LB,1431.0000,0.2343,0.2354,0.0003,0.0534,0.1558,0.3442,1.0000
Within_LF,1431.0000,0.2958,0.2806,0.0008,0.0657,0.1901,0.4899,1.0000
Within_RF,1431.0000,0.3082,0.2749,0.0007,0.0815,0.2189,0.5058,1.0000
