Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.395225,0.817199,0.000000,14.134639,9.532006,9.265666,0.442060,9.355524,372,9.444739,0.928991,9.592893,1490,9.303210,0.460188,9.440566,278
HE_Acc_X_std,HE,Acc,X_std,1.247683,0.557179,0.000000,3.588725,1.163074,1.829919,0.518147,1.859956,372,1.104215,0.488618,1.041934,1490,1.237524,0.433872,1.187865,278
HE_Acc_X_rms,HE,Acc,X_rms,9.494022,0.817699,0.000000,14.161574,9.621397,9.458689,0.444467,9.533655,372,9.521282,0.932300,9.653541,1490,9.395193,0.459199,9.536442,278
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,1.855576,0.680469,0.166667,6.666667,1.833333,1.824397,0.305384,1.833333,373,1.879083,0.747340,1.833333,1490,1.772024,0.662255,1.666667,280
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,5.458515,1.409155,0.000000,9.681861,5.418623,5.877685,1.303966,5.851749,372,5.218499,1.420209,5.092920,1490,6.184026,1.067740,5.992518,278
HE_Acc_X_spec_power,HE,Acc,X_spec_power,1123.954664,1002.261414,0.000000,7753.213690,814.358936,2177.069630,1172.114399,2082.604599,372,877.650745,816.897631,653.553723,1490,1034.868595,711.379782,849.446395,278
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.264333,0.870645,-3.324505,6.293097,-0.321600,-0.305827,0.712180,-0.341741,372,-0.222668,0.947526,-0.282079,1490,-0.432119,0.555104,-0.400183,278
HE_Acc_Y_std,HE,Acc,Y_std,1.104140,0.391562,0.000000,2.987204,1.067659,1.178721,0.411106,1.113901,372,1.066703,0.386179,1.030948,1490,1.204990,0.361529,1.166495,278
HE_Acc_Y_rms,HE,Acc,Y_rms,1.371410,0.565064,0.000000,6.330219,1.276944,1.382837,0.495709,1.329996,372,1.365556,0.607600,1.255404,1490,1.387497,0.389089,1.311784,278
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.975657,0.559130,0.166667,3.666667,0.833333,1.022788,0.584039,0.833333,373,0.987360,0.568927,0.833333,1490,0.850595,0.445563,0.833333,280
HE_Acc_Y_spec_centroid,HE,Acc,Y_spec_centroid,5.023645,1.560399,0.000000,9.932020,4.905439,5.363193,1.479634,5.220555,372,4.863752,1.587356,4.722786,1490,5.426264,1.367516,5.348474,278
HE_Acc_Y_spec_power,HE,Acc,Y_spec_power,826.177024,582.921624,0.000000,5371.930294,686.224176,937.887550,647.473053,746.951663,372,774.715348,554.700993,639.844784,1490,952.513643,601.188443,819.157556,278
HE_Acc_Z_mean,HE,Acc,Z_mean,1.004696,2.064253,-7.019298,7.044223,1.068755,1.790198,2.163860,2.084842,372,0.635251,1.943635,0.666651,1490,1.933705,1.974204,2.254901,278
