Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_Y_dom_freq,662.638419,0.000000,0.308710,Large,Yes
HE_FreeAcc_X_dom_freq,611.733189,0.000000,0.284922,Large,Yes
RF_Acc_X_std,591.613309,0.000000,0.275778,Large,Yes
RF_FreeAcc_X_std,591.613309,0.000000,0.275778,Large,Yes
RF_Acc_X_spec_power,591.612083,0.000000,0.275777,Large,Yes
RF_FreeAcc_X_spec_power,591.612083,0.000000,0.275777,Large,Yes
LF_Acc_X_spec_power,576.753221,0.000000,0.269205,Large,Yes
LF_FreeAcc_X_spec_power,576.753221,0.000000,0.269205,Large,Yes
LF_Acc_X_std,576.751900,0.000000,0.269205,Large,Yes
LF_FreeAcc_X_std,576.751900,0.000000,0.269205,Large,Yes
RF_FreeAcc_X_rms,576.946239,0.000000,0.268918,Large,Yes
LF_FreeAcc_X_rms,575.957778,0.000000,0.268833,Large,Yes
LB_Acc_X_std,537.344499,0.000000,0.250278,Large,Yes
LB_FreeAcc_X_std,537.344499,0.000000,0.250278,Large,Yes
LB_Acc_X_spec_power,537.343136,0.000000,0.250277,Large,Yes
LB_FreeAcc_X_spec_power,537.343136,0.000000,0.250277,Large,Yes
LF_Acc_Y_spec_centroid,534.146049,0.000000,0.249249,Large,Yes
LF_FreeAcc_Y_spec_centroid,534.146049,0.000000,0.249249,Large,Yes
LB_FreeAcc_X_rms,531.998632,0.000000,0.247779,Large,Yes
RF_Acc_Y_std,513.903240,0.000000,0.239431,Large,Yes
RF_FreeAcc_Y_std,513.903240,0.000000,0.239431,Large,Yes
RF_Acc_Y_spec_power,513.903240,0.000000,0.239431,Large,Yes
RF_FreeAcc_Y_spec_power,513.903240,0.000000,0.239431,Large,Yes
RF_FreeAcc_Y_rms,510.256504,0.000000,0.237725,Large,Yes
RF_FreeAcc_X_mean,496.672726,0.000000,0.231372,Large,Yes
LF_Gyr_Y_spec_power,494.630976,0.000000,0.230741,Large,Yes
LF_Gyr_Y_std,494.630976,0.000000,0.230741,Large,Yes
LF_Gyr_Y_rms,494.490162,0.000000,0.230675,Large,Yes
LF_Acc_Z_rms,491.530766,0.000000,0.229288,Large,Yes
LF_Acc_X_rms,488.915385,0.000000,0.228063,Large,Yes
LF_Acc_Z_spec_power,485.668849,0.000000,0.226543,Large,Yes
LF_Acc_Z_std,485.668849,0.000000,0.226543,Large,Yes
LF_FreeAcc_Z_std,485.668849,0.000000,0.226543,Large,Yes
LF_FreeAcc_Z_spec_power,485.668849,0.000000,0.226543,Large,Yes
RF_Acc_Y_spec_centroid,484.815200,0.000000,0.225826,Large,Yes
RF_FreeAcc_Y_spec_centroid,484.815200,0.000000,0.225826,Large,Yes
LF_FreeAcc_Z_rms,483.980126,0.000000,0.225752,Large,Yes
RF_Acc_Z_rms,467.690642,0.000000,0.217816,Large,Yes
HE_Acc_X_spec_power,455.848239,0.000000,0.212376,Large,Yes
HE_Acc_X_std,455.845170,0.000000,0.212375,Large,Yes
RF_Acc_X_rms,448.362834,0.000000,0.208776,Large,Yes
LF_Acc_Y_mean,445.409753,0.000000,0.207686,Large,Yes
LB_FreeAcc_Z_std,437.544418,0.000000,0.203621,Large,Yes
LB_Acc_Z_spec_power,437.544418,0.000000,0.203621,Large,Yes
LB_FreeAcc_Z_spec_power,437.544418,0.000000,0.203621,Large,Yes
LB_Acc_Z_std,437.544418,0.000000,0.203621,Large,Yes
LF_FreeAcc_X_mean,430.769361,0.000000,0.200829,Large,Yes
RF_Gyr_Y_rms,417.926159,0.000000,0.194540,Large,Yes
RF_Gyr_Y_spec_power,417.924602,0.000000,0.194539,Large,Yes
RF_Gyr_Y_std,417.924602,0.000000,0.194539,Large,Yes
RF_FreeAcc_Z_spec_power,400.588470,0.000000,0.186431,Large,Yes
RF_Acc_Z_std,400.588470,0.000000,0.186431,Large,Yes
RF_Acc_Z_spec_power,400.588470,0.000000,0.186431,Large,Yes
RF_FreeAcc_Z_std,400.588470,0.000000,0.186431,Large,Yes
RF_FreeAcc_Z_rms,400.238235,0.000000,0.186267,Large,Yes
RF_Acc_Z_spec_centroid,385.331626,0.000000,0.179294,Large,Yes
RF_FreeAcc_Z_spec_centroid,385.331626,0.000000,0.179294,Large,Yes
LF_Gyr_X_mean,379.644489,0.000000,0.176883,Large,Yes
LF_Acc_Z_spec_centroid,376.786866,0.000000,0.175544,Large,Yes
LF_FreeAcc_Z_spec_centroid,376.786866,0.000000,0.175544,Large,Yes
LB_Acc_X_rms,372.747838,0.000000,0.173328,Large,Yes
RF_Gyr_X_mean,372.112816,0.000000,0.173112,Large,Yes
RF_Acc_Y_rms,367.946042,0.000000,0.171163,Large,Yes
LF_Acc_Y_spec_power,353.295107,0.000000,0.164541,Large,Yes
LF_Acc_Y_std,353.295107,0.000000,0.164541,Large,Yes
LF_FreeAcc_Y_std,353.295107,0.000000,0.164541,Large,Yes
LF_FreeAcc_Y_spec_power,353.295107,0.000000,0.164541,Large,Yes
LB_FreeAcc_Y_dom_freq,353.762306,0.000000,0.164375,Large,Yes
LB_Acc_Y_dom_freq,353.762306,0.000000,0.164375,Large,Yes
LB_Acc_Y_spec_centroid,352.043046,0.000000,0.163648,Large,Yes
LB_FreeAcc_Y_spec_centroid,352.043046,0.000000,0.163648,Large,Yes
LF_FreeAcc_Y_rms,347.881876,0.000000,0.162006,Large,Yes
LF_Acc_X_mean,339.241337,0.000000,0.157958,Large,Yes
LB_FreeAcc_Z_rms,335.644109,0.000000,0.155981,Large,Yes
RF_Acc_X_spec_centroid,327.426151,0.000000,0.152211,Large,Yes
RF_FreeAcc_X_spec_centroid,327.426151,0.000000,0.152211,Large,Yes
RF_Gyr_Z_rms,323.663772,0.000000,0.150451,Large,Yes
RF_Gyr_Z_spec_power,318.398082,0.000000,0.147988,Large,Yes
RF_Gyr_Z_std,318.394739,0.000000,0.147986,Large,Yes
RF_Acc_Z_dom_freq,315.713359,0.000000,0.146595,Large,Yes
RF_FreeAcc_Z_dom_freq,315.713359,0.000000,0.146595,Large,Yes
LB_FreeAcc_Y_std,309.105535,0.000000,0.143574,Large,Yes
LB_Acc_Y_std,309.105535,0.000000,0.143574,Large,Yes
LB_Acc_Y_spec_power,309.102704,0.000000,0.143573,Large,Yes
LB_FreeAcc_Y_spec_power,309.102704,0.000000,0.143573,Large,Yes
RF_Acc_Z_mean,302.660895,0.000000,0.140627,Large,Yes
LF_FreeAcc_X_spec_centroid,298.973245,0.000000,0.139098,Medium,Yes
LF_Acc_X_spec_centroid,298.973245,0.000000,0.139098,Medium,Yes
RF_Gyr_X_rms,282.825382,0.000000,0.131350,Medium,Yes
RF_Acc_X_mean,282.402119,0.000000,0.131152,Medium,Yes
LB_Acc_X_mean,275.717310,0.000000,0.127965,Medium,Yes
RF_Gyr_X_std,275.188681,0.000000,0.127778,Medium,Yes
RF_Gyr_X_spec_power,275.185583,0.000000,0.127776,Medium,Yes
HE_FreeAcc_Y_std,274.557462,0.000000,0.127542,Medium,Yes
HE_FreeAcc_Y_spec_power,274.556310,0.000000,0.127542,Medium,Yes
HE_FreeAcc_Z_std,263.006820,0.000000,0.122137,Medium,Yes
HE_Acc_Z_std,263.006820,0.000000,0.122137,Medium,Yes
