Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.186792,Negligible,-0.069851,Negligible,0.149387,Negligible
HE_Acc_X_std,1.386694,Large,1.178363,Large,-0.223298,Small
HE_Acc_X_rms,-0.071916,Negligible,0.130950,Negligible,0.135480,Negligible
HE_Acc_X_dom_freq,-0.139394,Negligible,0.162014,Negligible,0.239664,Small
HE_Acc_X_spec_centroid,0.470645,Small,-0.187135,Negligible,-0.644578,Medium
HE_Acc_X_spec_power,1.384652,Large,1.069298,Large,-0.160797,Negligible
HE_Acc_Y_mean,-0.040265,Negligible,0.265000,Small,0.224827,Small
HE_Acc_Y_std,0.235621,Small,-0.114558,Negligible,-0.357550,Small
HE_Acc_Y_rms,-0.035072,Negligible,-0.072889,Negligible,-0.020685,Negligible
HE_Acc_Y_dom_freq,0.058371,Negligible,0.272993,Small,0.223507,Small
HE_Acc_Y_spec_centroid,0.239865,Small,-0.133232,Negligible,-0.363965,Small
HE_Acc_Y_spec_power,0.238930,Small,-0.072784,Negligible,-0.324003,Small
HE_Acc_Z_mean,0.564104,Medium,-0.091349,Negligible,-0.671200,Medium
HE_Acc_Z_std,0.910613,Large,0.411473,Small,-0.455144,Small
HE_Acc_Z_rms,0.798976,Medium,0.139991,Negligible,-0.637378,Medium
HE_Acc_Z_dom_freq,0.101477,Negligible,0.225729,Small,0.127637,Negligible
HE_Acc_Z_spec_centroid,0.367328,Small,-0.029702,Negligible,-0.398569,Small
HE_Acc_Z_spec_power,0.786883,Medium,0.358207,Small,-0.360120,Small
HE_FreeAcc_X_mean,0.084065,Negligible,-0.651323,Medium,-1.137001,Large
HE_FreeAcc_X_std,0.556795,Medium,0.317852,Small,-0.268548,Small
HE_FreeAcc_X_rms,0.747835,Medium,0.173429,Negligible,-0.577983,Medium
HE_FreeAcc_X_dom_freq,-0.863474,Large,0.623702,Medium,1.386000,Large
HE_FreeAcc_X_spec_centroid,0.021904,Negligible,-0.117056,Negligible,-0.135096,Negligible
HE_FreeAcc_X_spec_power,0.508784,Medium,0.347110,Small,-0.171249,Negligible
HE_FreeAcc_Y_mean,-0.127674,Negligible,0.436629,Small,0.478742,Small
HE_FreeAcc_Y_std,1.132533,Large,0.707514,Medium,-0.302613,Small
HE_FreeAcc_Y_rms,0.778299,Medium,0.630661,Medium,-0.147503,Negligible
HE_FreeAcc_Y_dom_freq,1.041621,Large,-0.227384,Small,-1.245715,Large
HE_FreeAcc_Y_spec_centroid,0.644549,Medium,-0.199955,Negligible,-0.828763,Large
HE_FreeAcc_Y_spec_power,1.244857,Large,0.705260,Medium,-0.307409,Small
HE_FreeAcc_Z_mean,0.158730,Negligible,0.390528,Small,0.256306,Small
HE_FreeAcc_Z_std,0.910613,Large,0.411473,Small,-0.455144,Small
HE_FreeAcc_Z_rms,0.347679,Small,0.196300,Negligible,-0.148123,Negligible
HE_FreeAcc_Z_dom_freq,0.101477,Negligible,0.225729,Small,0.127637,Negligible
HE_FreeAcc_Z_spec_centroid,0.367328,Small,-0.029702,Negligible,-0.398569,Small
HE_FreeAcc_Z_spec_power,0.786883,Medium,0.358207,Small,-0.360120,Small
HE_Gyr_X_mean,0.051994,Negligible,0.295942,Small,0.236508,Small
HE_Gyr_X_std,0.399610,Small,0.084920,Negligible,-0.295456,Small
HE_Gyr_X_rms,0.353833,Small,0.195957,Negligible,-0.140333,Negligible
HE_Gyr_X_dom_freq,-0.113498,Negligible,0.319394,Small,0.318616,Small
HE_Gyr_X_spec_centroid,0.011911,Negligible,0.181509,Negligible,0.185467,Negligible
HE_Gyr_X_spec_power,0.260815,Small,0.012268,Negligible,-0.233387,Small
HE_Gyr_Y_mean,-0.201478,Small,-0.039109,Negligible,0.183221,Negligible
HE_Gyr_Y_std,0.725214,Medium,0.365317,Small,-0.258340,Small
HE_Gyr_Y_rms,0.752621,Medium,0.471676,Small,-0.183206,Negligible
HE_Gyr_Y_dom_freq,-0.156730,Negligible,0.130850,Negligible,0.264416,Small
HE_Gyr_Y_spec_centroid,-0.121168,Negligible,0.023243,Negligible,0.144695,Negligible
HE_Gyr_Y_spec_power,0.611132,Medium,0.181263,Negligible,-0.320479,Small
HE_Gyr_Z_mean,0.021655,Negligible,0.111193,Negligible,0.113418,Negligible
HE_Gyr_Z_std,0.939509,Large,0.285107,Small,-0.538454,Medium
HE_Gyr_Z_rms,0.942536,Large,0.316243,Small,-0.506701,Medium
HE_Gyr_Z_dom_freq,0.115368,Negligible,0.462005,Small,0.260306,Small
HE_Gyr_Z_spec_centroid,-0.023875,Negligible,0.178475,Negligible,0.205651,Small
HE_Gyr_Z_spec_power,0.864612,Large,0.151532,Negligible,-0.553658,Medium
LB_Acc_X_mean,0.499523,Small,-0.236844,Small,-0.700030,Medium
LB_Acc_X_std,1.672412,Large,1.159205,Large,-0.353881,Small
LB_Acc_X_rms,0.744870,Medium,0.050433,Negligible,-0.720784,Medium
LB_Acc_X_dom_freq,-0.142273,Negligible,-0.255122,Small,-0.065441,Negligible
LB_Acc_X_spec_centroid,0.505318,Medium,-0.280671,Small,-0.763961,Medium
LB_Acc_X_spec_power,1.642034,Large,1.032992,Large,-0.327077,Small
LB_Acc_Y_mean,0.184865,Negligible,-0.375808,Small,-0.425496,Small
LB_Acc_Y_std,0.916483,Large,0.265651,Small,-0.677747,Medium
LB_Acc_Y_rms,0.442613,Small,0.201266,Small,-0.267247,Small
LB_Acc_Y_dom_freq,1.510562,Large,0.805898,Large,-0.340917,Small
LB_Acc_Y_spec_centroid,0.931661,Large,0.181149,Negligible,-0.769915,Medium
LB_Acc_Y_spec_power,0.921902,Large,0.327832,Small,-0.590559,Medium
LB_Acc_Z_mean,0.063780,Negligible,0.006917,Negligible,-0.059263,Negligible
LB_Acc_Z_std,1.443988,Large,1.203097,Large,-0.092307,Negligible
LB_Acc_Z_rms,0.024044,Negligible,0.346649,Small,0.271562,Small
LB_Acc_Z_dom_freq,0.437892,Small,0.794121,Medium,0.211630,Small
LB_Acc_Z_spec_centroid,0.489392,Small,-0.179484,Negligible,-0.646753,Medium
LB_Acc_Z_spec_power,1.497387,Large,1.102555,Large,-0.131194,Negligible
LB_FreeAcc_X_mean,0.079735,Negligible,0.313751,Small,0.190785,Negligible
LB_FreeAcc_X_std,1.672412,Large,1.159205,Large,-0.353881,Small
LB_FreeAcc_X_rms,1.662794,Large,1.154210,Large,-0.346504,Small
LB_FreeAcc_X_dom_freq,-0.142273,Negligible,-0.255122,Small,-0.065441,Negligible
LB_FreeAcc_X_spec_centroid,0.505318,Medium,-0.280671,Small,-0.763961,Medium
