Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1676,0.2216,0.0001,0.0252,0.0674,0.1844,0.9184
Across_HE_vs_LF,100.0000,0.1839,0.2315,0.0018,0.0322,0.0710,0.2394,0.8439
Across_HE_vs_RF,100.0000,0.1773,0.2237,0.0014,0.0249,0.0792,0.2064,0.8543
Across_LB_vs_LF,100.0000,0.2310,0.2500,0.0009,0.0500,0.1088,0.3947,0.8801
Across_LB_vs_RF,100.0000,0.2153,0.2478,0.0000,0.0314,0.1074,0.3482,0.8838
Across_LF_vs_RF,100.0000,0.2945,0.3107,0.0026,0.0351,0.1210,0.5504,0.9406
Within_HE,1431.0000,0.1664,0.1998,0.0000,0.0381,0.0863,0.2089,1.0000
Within_LB,1431.0000,0.2480,0.2704,0.0003,0.0412,0.1136,0.4442,1.0000
Within_LF,1431.0000,0.2926,0.3041,0.0003,0.0565,0.1443,0.5814,1.0000
Within_RF,1431.0000,0.2934,0.3033,0.0002,0.0550,0.1507,0.5453,1.0000
