Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.373686,0.788653,0.000000,14.019914,9.507347,9.280350,0.400878,9.367145,612,9.436277,0.905882,9.567960,2177,9.218813,0.527497,9.371247,511
HE_Acc_X_std,HE,Acc,X_std,0.991669,0.537691,0.000000,3.470801,0.941681,1.328731,0.591548,1.284216,612,0.937483,0.489722,0.895976,2177,0.818831,0.498864,0.817941,511
HE_Acc_X_rms,HE,Acc,X_rms,9.441268,0.789210,0.000000,14.038872,9.569684,9.393235,0.409430,9.476972,612,9.495258,0.906990,9.612454,2177,9.268785,0.522742,9.436191,511
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,1.672626,0.845365,0.166667,8.333333,1.666667,1.623366,0.646225,1.750000,612,1.719951,0.829460,1.666667,2177,1.530007,1.074295,1.500000,511
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,5.630345,1.625330,0.000000,13.454407,5.459250,6.021176,1.484134,5.880908,612,5.314528,1.556038,5.101170,2177,6.507734,1.654759,6.072357,511
HE_Acc_X_spec_power,HE,Acc,X_spec_power,766.011366,783.106725,0.000000,7252.045805,533.836353,1273.172733,991.200476,992.835399,612,673.399489,696.830212,483.274173,2177,553.160683,572.224848,402.759400,511
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.288606,0.891980,-3.439307,6.395177,-0.325784,-0.361152,0.761354,-0.402554,612,-0.180087,0.951797,-0.247929,2177,-0.664036,0.623784,-0.626230,511
HE_Acc_Y_std,HE,Acc,Y_std,0.911465,0.430486,0.000000,2.713516,0.886124,0.969847,0.441476,0.945956,612,0.914200,0.409900,0.877953,2177,0.829891,0.487432,0.826576,511
HE_Acc_Y_rms,HE,Acc,Y_rms,1.240827,0.595958,0.000000,6.431073,1.164874,1.257933,0.512214,1.184730,612,1.239455,0.636846,1.148809,2177,1.226184,0.502096,1.190497,511
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.836061,0.582195,0.166667,6.833333,0.833333,0.843410,0.592536,0.833333,612,0.855612,0.571663,0.833333,2177,0.743966,0.606118,0.666667,511
HE_Acc_Y_spec_centroid,HE,Acc,Y_spec_centroid,5.183377,1.776217,0.000000,13.447948,5.007168,5.354457,1.703387,5.141978,612,5.003569,1.729459,4.853903,2177,5.744513,1.918774,5.455106,511
HE_Acc_Y_spec_power,HE,Acc,Y_spec_power,611.656262,538.641455,0.000000,4432.673839,472.705083,683.388531,588.945764,538.694943,612,604.234728,509.714846,464.026922,2177,557.363758,585.953730,411.306962,511
HE_Acc_Z_mean,HE,Acc,Z_mean,1.189061,2.026343,-7.683808,7.766399,1.311358,1.892435,1.873956,2.115447,612,0.695484,1.934780,0.793193,2177,2.449434,1.776645,2.585209,511
HE_Acc_Z_std,HE,Acc,Z_std,1.023375,0.609303,0.000000,4.870352,0.895832,1.367699,0.755885,1.183139,612,0.945375,0.536804,0.839393,2177,0.943295,0.559302,0.889688,511
HE_Acc_Z_rms,HE,Acc,Z_rms,2.337270,1.214387,0.000000,7.938398,2.180144,2.880746,1.109787,2.782404,612,2.043103,1.110588,1.821288,2177,2.939602,1.309245,2.804225,511
HE_Acc_Z_dom_freq,HE,Acc,Z_dom_freq,0.653434,0.716718,0.166667,5.500000,0.166667,0.551198,0.654980,0.166667,612,0.725999,0.755690,0.333333,2177,0.466732,0.549888,0.166667,511
HE_Acc_Z_spec_centroid,HE,Acc,Z_spec_centroid,5.482284,1.895867,0.000000,14.258224,5.344560,5.727520,1.792469,5.583190,612,5.239510,1.840811,5.107337,2177,6.222860,2.017367,6.197498,511
HE_Acc_Z_spec_power,HE,Acc,Z_spec_power,853.904051,1174.634051,0.000000,14279.763729,483.117769,1469.512213,1752.639237,842.699321,612,711.425557,975.252886,424.158248,2177,723.617332,792.832057,476.514905,511
HE_FreeAcc_X_mean,HE,FreeAcc,X_mean,-0.028641,0.465443,-4.054023,3.182797,-0.012276,-0.050751,0.658895,-0.001841,612,-0.074747,0.356313,-0.031087,2177,0.194263,0.529233,0.093733,511
HE_FreeAcc_X_std,HE,FreeAcc,X_std,0.946768,0.495969,0.000000,3.090510,0.915004,1.083177,0.499645,1.068865,612,0.935854,0.488458,0.895976,2177,0.829891,0.487432,0.826576,511
HE_FreeAcc_X_rms,HE,FreeAcc,X_rms,1.027549,0.551277,0.000000,4.372992,0.992318,1.212845,0.623024,1.168894,612,0.995220,0.506407,0.959355,2177,0.943361,0.594882,0.925048,511
HE_FreeAcc_X_dom_freq,HE,FreeAcc,X_dom_freq,1.437374,0.866478,0.166667,7.000000,1.500000,1.023965,0.669435,0.833333,612,1.716353,0.829137,1.666667,2177,0.743966,0.606118,0.666667,511
HE_FreeAcc_X_spec_centroid,HE,FreeAcc,X_spec_centroid,5.399202,1.633109,0.000000,13.454407,5.166542,5.423775,1.611558,5.169914,612,5.311240,1.554159,5.099821,2177,5.744513,1.918774,5.455106,511
HE_FreeAcc_X_spec_power,HE,FreeAcc,X_spec_power,687.659160,687.707412,0.000000,5749.916056,504.019063,856.358343,712.155910,687.775294,612,670.818118,694.166014,483.274173,2177,557.363758,585.953730,411.306962,511
HE_FreeAcc_Y_mean,HE,FreeAcc,Y_mean,0.002267,0.541805,-2.874320,3.685303,0.000003,-0.000916,0.443754,-0.003016,612,0.030443,0.587630,0.018639,2177,-0.113955,0.415589,-0.040115,511
HE_FreeAcc_Y_std,HE,FreeAcc,Y_std,0.956366,0.481265,0.000000,3.470801,0.913285,1.215402,0.592397,1.131367,612,0.915829,0.411491,0.877953,2177,0.818831,0.498864,0.817941,511
HE_FreeAcc_Y_rms,HE,FreeAcc,Y_rms,1.063790,0.555064,0.000000,4.132422,1.016421,1.281120,0.619287,1.202401,612,1.042624,0.516843,0.993088,2177,0.893679,0.553319,0.883449,511
HE_FreeAcc_Y_dom_freq,HE,FreeAcc,Y_dom_freq,1.071313,0.765386,0.166667,8.333333,0.833333,1.442810,0.733054,1.666667,612,0.859210,0.577522,0.833333,2177,1.530007,1.074295,1.500000,511
HE_FreeAcc_Y_spec_centroid,HE,FreeAcc,Y_spec_centroid,5.414520,1.797054,0.000000,12.755385,5.349602,5.951858,1.609354,5.838654,612,5.006857,1.731733,4.854005,2177,6.507734,1.654759,6.072357,511
HE_FreeAcc_Y_spec_power,HE,FreeAcc,Y_spec_power,690.008468,665.103658,0.000000,7252.045805,502.127295,1100.202921,983.157191,770.560365,612,606.816099,513.672099,464.026922,2177,553.160683,572.224848,402.759400,511
HE_FreeAcc_Z_mean,HE,FreeAcc,Z_mean,-0.452184,1.554887,-6.897292,7.925100,-0.360946,-0.165809,1.803552,-0.149971,612,-0.512808,1.525620,-0.463922,2177,-0.536886,1.300013,-0.251355,511
