Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.189656,Negligible,0.132965,Negligible,0.256705,Small
HE_Acc_X_std,0.761515,Medium,0.924877,Large,0.241423,Small
HE_Acc_X_rms,-0.123809,Negligible,0.267968,Small,0.267213,Small
HE_Acc_X_dom_freq,-0.121809,Negligible,0.107610,Negligible,0.215553,Small
HE_Acc_X_spec_centroid,0.458695,Small,-0.311085,Small,-0.757467,Medium
HE_Acc_X_spec_power,0.777871,Medium,0.870288,Large,0.178147,Negligible
HE_Acc_Y_mean,-0.198221,Negligible,0.431387,Small,0.538456,Medium
HE_Acc_Y_std,0.133437,Negligible,0.302314,Small,0.198044,Negligible
HE_Acc_Y_rms,0.030207,Negligible,0.062543,Negligible,0.021631,Negligible
HE_Acc_Y_dom_freq,-0.021173,Negligible,0.166084,Negligible,0.193037,Negligible
HE_Acc_Y_spec_centroid,0.203557,Small,-0.216149,Small,-0.419331,Small
HE_Acc_Y_spec_power,0.149883,Negligible,0.214479,Small,0.089271,Negligible
HE_Acc_Z_mean,0.622890,Medium,-0.304316,Small,-0.920340,Large
HE_Acc_Z_std,0.713608,Medium,0.630053,Medium,0.003843,Negligible
HE_Acc_Z_rms,0.754353,Medium,-0.048858,Negligible,-0.778922,Medium
HE_Acc_Z_dom_freq,-0.237891,Small,0.138601,Negligible,0.359522,Small
HE_Acc_Z_spec_centroid,0.266625,Small,-0.260967,Small,-0.524282,Medium
HE_Acc_Z_spec_power,0.637064,Medium,0.532751,Medium,-0.012924,Negligible
HE_FreeAcc_X_mean,0.054437,Negligible,-0.406076,Small,-0.681019,Medium
HE_FreeAcc_X_std,0.300087,Small,0.512593,Medium,0.217021,Small
HE_FreeAcc_X_rms,0.407419,Small,0.441501,Small,0.098900,Negligible
HE_FreeAcc_X_dom_freq,-0.868885,Large,0.436541,Small,1.228321,Large
HE_FreeAcc_X_spec_centroid,0.071819,Negligible,-0.182446,Negligible,-0.265864,Small
HE_FreeAcc_X_spec_power,0.265760,Small,0.454572,Small,0.168092,Negligible
HE_FreeAcc_Y_mean,-0.056071,Negligible,0.262169,Small,0.258291,Small
HE_FreeAcc_Y_std,0.655064,Medium,0.718668,Medium,0.225866,Small
HE_FreeAcc_Y_rms,0.440872,Small,0.656469,Medium,0.284265,Small
HE_FreeAcc_Y_dom_freq,0.948952,Large,-0.096412,Negligible,-0.958930,Large
HE_FreeAcc_Y_spec_centroid,0.554040,Medium,-0.340993,Small,-0.873933,Large
HE_FreeAcc_Y_spec_power,0.763203,Medium,0.665438,Medium,0.102144,Negligible
HE_FreeAcc_Z_mean,0.218141,Small,0.232751,Small,0.016209,Negligible
HE_FreeAcc_Z_std,0.713608,Medium,0.630053,Medium,0.003843,Negligible
HE_FreeAcc_Z_rms,0.308035,Small,0.431180,Small,0.161180,Negligible
HE_FreeAcc_Z_dom_freq,-0.237891,Small,0.138601,Negligible,0.359522,Small
HE_FreeAcc_Z_spec_centroid,0.266625,Small,-0.260967,Small,-0.524282,Medium
HE_FreeAcc_Z_spec_power,0.637064,Medium,0.532751,Medium,-0.012924,Negligible
HE_Gyr_X_mean,0.160070,Negligible,0.130987,Negligible,-0.046056,Negligible
HE_Gyr_X_std,0.227970,Small,0.460690,Small,0.222327,Small
HE_Gyr_X_rms,0.218988,Small,0.508176,Medium,0.286085,Small
HE_Gyr_X_dom_freq,-0.150918,Negligible,0.239141,Small,0.304105,Small
HE_Gyr_X_spec_centroid,-0.072401,Negligible,-0.160340,Negligible,-0.104474,Negligible
HE_Gyr_X_spec_power,0.166135,Negligible,0.384190,Small,0.192228,Negligible
HE_Gyr_Y_mean,-0.225673,Small,0.028458,Negligible,0.295372,Small
HE_Gyr_Y_std,0.498109,Small,0.566767,Medium,0.033452,Negligible
HE_Gyr_Y_rms,0.505142,Medium,0.600936,Medium,0.063248,Negligible
HE_Gyr_Y_dom_freq,-0.255460,Small,0.177735,Negligible,0.397631,Small
HE_Gyr_Y_spec_centroid,-0.296252,Small,-0.107981,Negligible,0.179526,Negligible
HE_Gyr_Y_spec_power,0.097990,Negligible,0.400581,Small,0.016836,Negligible
HE_Gyr_Z_mean,0.084847,Negligible,0.078015,Negligible,-0.000295,Negligible
HE_Gyr_Z_std,0.599089,Medium,0.586550,Medium,0.091607,Negligible
HE_Gyr_Z_rms,0.600943,Medium,0.598109,Medium,0.102367,Negligible
HE_Gyr_Z_dom_freq,-0.124888,Negligible,0.199318,Negligible,0.281541,Small
HE_Gyr_Z_spec_centroid,-0.136260,Negligible,-0.145602,Negligible,-0.033748,Negligible
HE_Gyr_Z_spec_power,0.591248,Medium,0.486142,Small,0.001528,Negligible
LB_Acc_X_mean,0.554815,Medium,-0.148854,Negligible,-0.686640,Medium
LB_Acc_X_std,0.855750,Large,0.885731,Large,0.221638,Small
LB_Acc_X_rms,0.693044,Medium,0.058299,Negligible,-0.658138,Medium
LB_Acc_X_dom_freq,0.031371,Negligible,-0.223343,Small,-0.273190,Small
LB_Acc_X_spec_centroid,0.572233,Medium,-0.265162,Small,-0.843292,Large
LB_Acc_X_spec_power,0.951565,Large,0.839494,Large,0.079868,Negligible
LB_Acc_Y_mean,0.263383,Small,-0.409792,Small,-0.535988,Medium
LB_Acc_Y_std,0.286079,Small,0.367743,Small,0.144371,Negligible
LB_Acc_Y_rms,-0.015728,Negligible,0.210866,Small,0.223372,Small
LB_Acc_Y_dom_freq,0.874690,Large,0.593281,Medium,-0.095734,Negligible
LB_Acc_Y_spec_centroid,0.812217,Large,-0.070662,Negligible,-0.860071,Large
LB_Acc_Y_spec_power,0.322970,Small,0.306095,Small,0.015837,Negligible
LB_Acc_Z_mean,0.011159,Negligible,-0.096746,Negligible,-0.082945,Negligible
LB_Acc_Z_std,0.586272,Medium,0.841703,Large,0.409004,Small
