Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_dom_freq,811.880158,0.000000,0.245642,Large,Yes
LF_Acc_Y_mean,701.125331,0.000000,0.212049,Large,Yes
RF_FreeAcc_Y_spec_centroid,678.174381,0.000000,0.205088,Large,Yes
RF_Acc_Y_spec_centroid,678.174381,0.000000,0.205088,Large,Yes
LF_Acc_Y_spec_centroid,596.262033,0.000000,0.180243,Large,Yes
LF_FreeAcc_Y_spec_centroid,596.262033,0.000000,0.180243,Large,Yes
HE_FreeAcc_Y_dom_freq,554.245716,0.000000,0.167499,Large,Yes
RF_Acc_Z_spec_centroid,537.855137,0.000000,0.162528,Large,Yes
RF_FreeAcc_Z_spec_centroid,537.855137,0.000000,0.162528,Large,Yes
RF_Acc_Z_mean,534.679733,0.000000,0.161565,Large,Yes
LB_Acc_X_rms,525.609051,0.000000,0.158814,Large,Yes
RF_Acc_Y_mean,512.953086,0.000000,0.154975,Large,Yes
LB_Acc_X_mean,510.149038,0.000000,0.154125,Large,Yes
LB_Acc_Y_spec_centroid,476.932677,0.000000,0.144050,Large,Yes
LB_FreeAcc_Y_spec_centroid,476.932677,0.000000,0.144050,Large,Yes
LF_Acc_Z_rms,465.616043,0.000000,0.140618,Large,Yes
RF_Acc_Z_rms,459.884141,0.000000,0.138879,Medium,Yes
LF_FreeAcc_Z_spec_centroid,450.217543,0.000000,0.135947,Medium,Yes
LF_Acc_Z_spec_centroid,450.217543,0.000000,0.135947,Medium,Yes
RF_Acc_X_spec_centroid,448.172076,0.000000,0.135327,Medium,Yes
RF_FreeAcc_X_spec_centroid,448.172076,0.000000,0.135327,Medium,Yes
LF_Acc_X_spec_centroid,447.910744,0.000000,0.135247,Medium,Yes
LF_FreeAcc_X_spec_centroid,447.910744,0.000000,0.135247,Medium,Yes
HE_Acc_Z_mean,420.045302,0.000000,0.126796,Medium,Yes
LF_Acc_Z_mean,414.503030,0.000000,0.125115,Medium,Yes
HE_Acc_Z_rms,396.305315,0.000000,0.119595,Medium,Yes
RF_FreeAcc_Z_mean,394.059373,0.000000,0.118914,Medium,Yes
LF_Gyr_X_mean,358.755225,0.000000,0.108206,Medium,Yes
HE_FreeAcc_Y_spec_centroid,358.574865,0.000000,0.108151,Medium,Yes
LB_Gyr_Z_rms,329.420542,0.000000,0.099309,Medium,Yes
LB_Gyr_Z_spec_power,327.990225,0.000000,0.098875,Medium,Yes
LB_Gyr_Z_std,327.990225,0.000000,0.098875,Medium,Yes
RF_Gyr_X_mean,324.978089,0.000000,0.097961,Medium,Yes
LB_Gyr_Y_std,318.763111,0.000000,0.096076,Medium,Yes
LB_Gyr_Y_spec_power,318.761311,0.000000,0.096076,Medium,Yes
LB_Acc_X_spec_centroid,314.332240,0.000000,0.094732,Medium,Yes
LB_FreeAcc_X_spec_centroid,314.332240,0.000000,0.094732,Medium,Yes
LB_Gyr_Y_rms,312.367223,0.000000,0.094136,Medium,Yes
HE_Acc_X_std,279.778241,0.000000,0.084252,Medium,Yes
HE_Acc_X_spec_power,279.777791,0.000000,0.084252,Medium,Yes
LB_FreeAcc_X_spec_power,278.955511,0.000000,0.084002,Medium,Yes
LB_Acc_X_spec_power,278.955511,0.000000,0.084002,Medium,Yes
LB_Acc_X_std,278.953252,0.000000,0.084002,Medium,Yes
LB_FreeAcc_X_std,278.953252,0.000000,0.084002,Medium,Yes
HE_Acc_X_mean,276.818856,0.000000,0.083354,Medium,Yes
HE_Acc_X_spec_centroid,275.940763,0.000000,0.083088,Medium,Yes
LB_FreeAcc_X_rms,271.936919,0.000000,0.081873,Medium,Yes
LF_FreeAcc_X_spec_power,244.703700,0.000000,0.073613,Medium,Yes
LF_Acc_X_spec_power,244.703700,0.000000,0.073613,Medium,Yes
LF_Acc_X_std,244.702327,0.000000,0.073613,Medium,Yes
LF_FreeAcc_X_std,244.702327,0.000000,0.073613,Medium,Yes
RF_Acc_X_spec_power,237.479272,0.000000,0.071422,Medium,Yes
RF_FreeAcc_X_std,237.479272,0.000000,0.071422,Medium,Yes
RF_FreeAcc_X_spec_power,237.479272,0.000000,0.071422,Medium,Yes
RF_Acc_X_std,237.479272,0.000000,0.071422,Medium,Yes
LB_Acc_Z_spec_centroid,232.242044,0.000000,0.069834,Medium,Yes
LB_FreeAcc_Z_spec_centroid,232.242044,0.000000,0.069834,Medium,Yes
RF_Acc_Y_rms,223.760402,0.000000,0.067261,Medium,Yes
LF_FreeAcc_X_rms,222.186674,0.000000,0.066784,Medium,Yes
LF_FreeAcc_Z_mean,220.266342,0.000000,0.066201,Medium,Yes
LB_FreeAcc_Z_std,218.193511,0.000000,0.065573,Medium,Yes
LB_Acc_Z_std,218.193511,0.000000,0.065573,Medium,Yes
LB_FreeAcc_Z_spec_power,218.191695,0.000000,0.065572,Medium,Yes
