Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1550,0.2033,0.0025,0.0319,0.0693,0.1738,0.8111
Across_HE_vs_LF,100.0000,0.1188,0.1379,0.0010,0.0391,0.0688,0.1162,0.5857
Across_HE_vs_RF,100.0000,0.1098,0.1257,0.0002,0.0329,0.0669,0.1207,0.5362
Across_LB_vs_LF,100.0000,0.1450,0.1521,0.0017,0.0515,0.0805,0.1735,0.6563
Across_LB_vs_RF,100.0000,0.1362,0.1337,0.0002,0.0570,0.0906,0.1573,0.6003
Across_LF_vs_RF,100.0000,0.1831,0.1834,0.0029,0.0489,0.1074,0.2604,0.6533
Within_HE,1431.0000,0.1688,0.1995,0.0000,0.0380,0.0888,0.2177,1.0000
Within_LB,1431.0000,0.1958,0.2254,0.0003,0.0463,0.1012,0.2511,1.0000
Within_LF,1431.0000,0.2486,0.2620,0.0000,0.0473,0.1297,0.4482,1.0000
Within_RF,1431.0000,0.2319,0.2558,0.0003,0.0478,0.1130,0.3661,1.0000
