Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.400613,0.904585,0.000000,14.217413,9.550930,9.045954,1.223651,9.321981,29,9.439457,0.941502,9.583063,612,9.276873,0.462633,9.390039,109
HE_Acc_X_std,HE,Acc,X_std,0.724867,0.323094,0.000000,2.792211,0.665161,0.892861,0.264254,0.797359,29,0.715435,0.333695,0.653595,612,0.733124,0.260273,0.682119,109
HE_Acc_X_rms,HE,Acc,X_rms,9.435175,0.892706,0.000000,14.235367,9.585994,9.099394,1.178349,9.353381,29,9.473458,0.930789,9.611761,612,9.309567,0.459276,9.428050,109
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,2.052889,1.091301,0.333333,6.333333,2.000000,2.149425,1.200483,1.666667,29,2.063181,1.036523,2.000000,612,1.969419,1.340675,1.666667,109
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,6.045431,1.746385,0.000000,11.635492,5.910750,6.703942,1.606686,6.527937,29,5.906776,1.752179,5.721487,612,6.648734,1.587571,6.271020,109
HE_Acc_X_spec_power,HE,Acc,X_spec_power,190.171282,199.310815,0.000000,2354.623739,133.621031,261.125447,162.248111,192.011276,29,188.158715,207.827126,129.015785,612,182.593485,151.280681,140.522612,109
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.184385,1.017411,-3.841984,5.878595,-0.227083,-0.403278,1.188920,-0.227567,29,-0.097475,1.035319,-0.145037,612,-0.614120,0.711451,-0.542988,109
HE_Acc_Y_std,HE,Acc,Y_std,1.086108,0.419524,0.000000,2.944855,1.052442,1.289604,0.432858,1.244439,29,1.048443,0.417767,1.005035,612,1.243447,0.374819,1.242241,109
HE_Acc_Y_rms,HE,Acc,Y_rms,1.419130,0.640120,0.000000,5.910741,1.302568,1.669379,0.778111,1.401147,29,1.386674,0.656469,1.256177,612,1.534782,0.458689,1.465025,109
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.812889,0.390261,0.333333,4.000000,0.666667,0.678161,0.226827,0.666667,29,0.836057,0.411014,0.666667,612,0.718654,0.265174,0.666667,109
