Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.411782,Small,-0.333918,Small,0.183453,Negligible
HE_Acc_X_std,0.536096,Medium,0.611789,Medium,-0.054640,Negligible
HE_Acc_X_rms,-0.396675,Small,-0.312140,Small,0.187024,Negligible
HE_Acc_X_dom_freq,0.082590,Negligible,0.137092,Negligible,0.086206,Negligible
HE_Acc_X_spec_centroid,0.456552,Small,0.034689,Negligible,-0.429261,Small
HE_Acc_X_spec_power,0.354137,Small,0.511267,Medium,0.027777,Negligible
HE_Acc_Y_mean,-0.293329,Small,0.253279,Small,0.520060,Medium
HE_Acc_Y_std,0.576333,Medium,0.119122,Negligible,-0.473767,Small
HE_Acc_Y_rms,0.426873,Small,0.249196,Small,-0.234820,Small
HE_Acc_Y_dom_freq,-0.390152,Small,-0.157106,Negligible,0.299052,Small
HE_Acc_Y_spec_centroid,0.311855,Small,0.173258,Negligible,-0.152782,Negligible
HE_Acc_Y_spec_power,0.533042,Medium,0.131689,Negligible,-0.380225,Small
HE_Acc_Z_mean,1.021487,Large,0.009381,Negligible,-1.028766,Large
HE_Acc_Z_std,0.091268,Negligible,0.015678,Negligible,-0.076504,Negligible
HE_Acc_Z_rms,0.635140,Medium,0.133657,Negligible,-0.509505,Medium
HE_Acc_Z_dom_freq,-0.318538,Small,-0.176665,Negligible,0.213159,Small
HE_Acc_Z_spec_centroid,0.365996,Small,0.183159,Negligible,-0.191612,Negligible
HE_Acc_Z_spec_power,0.006482,Negligible,-0.033512,Negligible,-0.039299,Negligible
HE_FreeAcc_X_mean,-0.061115,Negligible,-0.529457,Medium,-0.703695,Medium
HE_FreeAcc_X_std,1.644594,Large,0.061830,Negligible,-1.569624,Large
HE_FreeAcc_X_rms,1.408224,Large,0.053691,Negligible,-1.337814,Large
HE_FreeAcc_X_dom_freq,-0.914737,Large,0.818533,Large,1.393620,Large
HE_FreeAcc_X_spec_centroid,0.168716,Negligible,0.320286,Small,0.156163,Negligible
HE_FreeAcc_X_spec_power,1.662403,Large,0.100454,Negligible,-1.369751,Large
HE_FreeAcc_Y_mean,-0.018368,Negligible,0.311423,Small,0.386902,Small
HE_FreeAcc_Y_std,-0.327396,Small,0.698421,Medium,0.793805,Medium
HE_FreeAcc_Y_rms,0.146883,Negligible,0.610783,Medium,0.564587,Medium
HE_FreeAcc_Y_dom_freq,1.831608,Large,-0.194170,Negligible,-1.763192,Large
HE_FreeAcc_Y_spec_centroid,0.577735,Medium,-0.132075,Negligible,-0.700257,Medium
HE_FreeAcc_Y_spec_power,-0.359358,Small,0.585286,Medium,0.672791,Medium
HE_FreeAcc_Z_mean,0.205477,Small,0.185632,Negligible,-0.035905,Negligible
HE_FreeAcc_Z_std,0.091268,Negligible,0.015678,Negligible,-0.076504,Negligible
HE_FreeAcc_Z_rms,-0.141501,Negligible,0.015051,Negligible,0.157998,Negligible
HE_FreeAcc_Z_dom_freq,-0.318538,Small,-0.176665,Negligible,0.213159,Small
HE_FreeAcc_Z_spec_centroid,0.365996,Small,0.183159,Negligible,-0.191612,Negligible
HE_FreeAcc_Z_spec_power,0.006482,Negligible,-0.033512,Negligible,-0.039299,Negligible
HE_Gyr_X_mean,1.438396,Large,1.039532,Large,-0.637624,Medium
HE_Gyr_X_std,0.889411,Large,0.361693,Small,-0.393652,Small
HE_Gyr_X_rms,0.882368,Large,0.792524,Medium,-0.088002,Negligible
HE_Gyr_X_dom_freq,-0.006970,Negligible,0.249383,Small,0.191753,Negligible
HE_Gyr_X_spec_centroid,-0.578974,Medium,-0.482104,Small,0.061621,Negligible
HE_Gyr_X_spec_power,0.906258,Large,0.177730,Negligible,-0.450382,Small
HE_Gyr_Y_mean,-0.181658,Negligible,0.078763,Negligible,0.271042,Small
HE_Gyr_Y_std,0.284658,Small,0.289969,Small,-0.019763,Negligible
HE_Gyr_Y_rms,0.414545,Small,0.469932,Small,-0.000587,Negligible
HE_Gyr_Y_dom_freq,0.056601,Negligible,0.397071,Small,0.246668,Small
HE_Gyr_Y_spec_centroid,-0.043377,Negligible,-0.000577,Negligible,0.043171,Negligible
HE_Gyr_Y_spec_power,0.211821,Small,0.238648,Small,0.025758,Negligible
HE_Gyr_Z_mean,1.261020,Large,0.464295,Small,-0.605724,Medium
HE_Gyr_Z_std,0.962351,Large,-0.053876,Negligible,-0.940637,Large
HE_Gyr_Z_rms,1.060726,Large,0.076450,Negligible,-0.886393,Large
HE_Gyr_Z_dom_freq,-0.361527,Small,-0.069485,Negligible,0.351073,Small
HE_Gyr_Z_spec_centroid,-0.381752,Small,-0.050202,Negligible,0.322289,Small
HE_Gyr_Z_spec_power,0.871924,Large,-0.130021,Negligible,-0.849603,Large
LB_Acc_X_mean,0.296893,Small,-0.172121,Negligible,-0.470417,Small
LB_Acc_X_std,0.454858,Small,0.820683,Large,0.187346,Negligible
LB_Acc_X_rms,0.311508,Small,-0.142518,Negligible,-0.453910,Small
LB_Acc_X_dom_freq,0.444018,Small,-0.125139,Negligible,-0.568907,Medium
LB_Acc_X_spec_centroid,0.624710,Medium,-0.051309,Negligible,-0.679358,Medium
LB_Acc_X_spec_power,0.169147,Negligible,0.639462,Medium,0.134436,Negligible
LB_Acc_Y_mean,0.650962,Medium,0.086025,Negligible,-0.623429,Medium
LB_Acc_Y_std,0.379604,Small,0.250834,Small,-0.178864,Negligible
LB_Acc_Y_rms,0.307116,Small,0.527024,Medium,0.077914,Negligible
LB_Acc_Y_dom_freq,-0.155299,Negligible,0.004445,Negligible,0.161078,Negligible
LB_Acc_Y_spec_centroid,0.151535,Negligible,-0.252892,Small,-0.374349,Small
LB_Acc_Y_spec_power,0.259608,Small,0.201949,Small,-0.103173,Negligible
LB_Acc_Z_mean,0.242505,Small,0.086265,Negligible,-0.183544,Negligible
LB_Acc_Z_std,0.443062,Small,0.888491,Large,0.387594,Small
LB_Acc_Z_rms,0.144213,Negligible,0.225118,Small,0.083147,Negligible
LB_Acc_Z_dom_freq,-0.133288,Negligible,0.251825,Small,0.343438,Small
LB_Acc_Z_spec_centroid,0.400386,Small,-0.034075,Negligible,-0.437575,Small
LB_Acc_Z_spec_power,0.369640,Small,0.819111,Large,0.326524,Small
LB_FreeAcc_X_mean,-0.206578,Small,0.346367,Small,0.551267,Medium
LB_FreeAcc_X_std,0.454858,Small,0.820683,Large,0.187346,Negligible
LB_FreeAcc_X_rms,0.422271,Small,0.717362,Medium,0.172783,Negligible
LB_FreeAcc_X_dom_freq,0.444018,Small,-0.125139,Negligible,-0.568907,Medium
LB_FreeAcc_X_spec_centroid,0.624710,Medium,-0.051309,Negligible,-0.679358,Medium
LB_FreeAcc_X_spec_power,0.169147,Negligible,0.639462,Medium,0.134436,Negligible
LB_FreeAcc_Y_mean,0.038307,Negligible,0.092066,Negligible,0.022062,Negligible
LB_FreeAcc_Y_std,0.379604,Small,0.250834,Small,-0.178864,Negligible
