Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_spec_power,188.830479,0.000000,0.250108,Large,Yes
HE_FreeAcc_X_std,188.830479,0.000000,0.250108,Large,Yes
HE_FreeAcc_X_dom_freq,187.548312,0.000000,0.248391,Large,Yes
HE_FreeAcc_X_rms,173.646567,0.000000,0.229781,Large,Yes
LF_Acc_Y_mean,141.454625,0.000000,0.186686,Large,Yes
RF_Acc_Y_mean,110.243600,0.000000,0.144904,Large,Yes
HE_Acc_Z_mean,105.824865,0.000000,0.138989,Medium,Yes
RF_Acc_Y_spec_centroid,104.194837,0.000000,0.136807,Medium,Yes
RF_FreeAcc_Y_spec_centroid,104.194837,0.000000,0.136807,Medium,Yes
LF_Gyr_Z_mean,102.182378,0.000000,0.134113,Medium,Yes
LB_Gyr_X_mean,86.698543,0.000000,0.113385,Medium,Yes
RF_FreeAcc_Y_mean,86.080566,0.000000,0.112558,Medium,Yes
HE_FreeAcc_Y_dom_freq,82.933531,0.000000,0.108345,Medium,Yes
HE_Gyr_Z_std,81.961874,0.000000,0.107044,Medium,Yes
HE_Gyr_Z_spec_power,81.961874,0.000000,0.107044,Medium,Yes
LF_Gyr_X_mean,81.928347,0.000000,0.106999,Medium,Yes
RF_Gyr_X_mean,79.750987,0.000000,0.104084,Medium,Yes
HE_Gyr_X_mean,76.065397,0.000000,0.099150,Medium,Yes
RF_Gyr_Z_mean,74.010851,0.000000,0.096400,Medium,Yes
HE_Gyr_Z_rms,73.903400,0.000000,0.096256,Medium,Yes
HE_FreeAcc_Y_spec_power,73.700142,0.000000,0.095984,Medium,Yes
HE_FreeAcc_Y_std,73.700142,0.000000,0.095984,Medium,Yes
LF_FreeAcc_Y_spec_centroid,72.787957,0.000000,0.094763,Medium,Yes
LF_Acc_Y_spec_centroid,72.787957,0.000000,0.094763,Medium,Yes
RF_FreeAcc_Z_spec_centroid,57.537503,0.000000,0.074347,Medium,Yes
RF_Acc_Z_spec_centroid,57.537503,0.000000,0.074347,Medium,Yes
HE_Gyr_Z_mean,55.674826,0.000000,0.071854,Medium,Yes
LB_Gyr_Z_mean,55.191044,0.000000,0.071206,Medium,Yes
LB_Acc_Y_mean,54.362273,0.000000,0.070097,Medium,Yes
RF_FreeAcc_X_spec_centroid,53.839361,0.000000,0.069397,Medium,Yes
RF_Acc_X_spec_centroid,53.839361,0.000000,0.069397,Medium,Yes
LB_Gyr_Y_std,53.430203,0.000000,0.068849,Medium,Yes
LB_Gyr_Y_spec_power,53.428590,0.000000,0.068847,Medium,Yes
LB_Acc_X_mean,50.995543,0.000000,0.065590,Medium,Yes
HE_Acc_X_mean,49.513889,0.000000,0.063606,Medium,Yes
LF_Gyr_Z_std,49.480944,0.000000,0.063562,Medium,Yes
LF_Gyr_Z_spec_power,49.480944,0.000000,0.063562,Medium,Yes
RF_Acc_Z_rms,49.075153,0.000000,0.063019,Medium,Yes
LF_Gyr_Z_rms,48.831849,0.000000,0.062693,Medium,Yes
HE_FreeAcc_Y_spec_centroid,48.290451,0.000000,0.061968,Medium,Yes
LF_FreeAcc_Y_spec_power,48.250384,0.000000,0.061915,Medium,Yes
LF_Acc_Y_spec_power,48.250384,0.000000,0.061915,Medium,Yes
LF_Acc_Y_std,48.250384,0.000000,0.061915,Medium,Yes
LF_FreeAcc_Y_std,48.250384,0.000000,0.061915,Medium,Yes
HE_Acc_X_rms,48.247987,0.000000,0.061912,Medium,Yes
HE_Acc_Z_rms,47.295850,0.000000,0.060637,Medium,Yes
LB_Acc_X_rms,46.385425,0.000000,0.059418,Small,Yes
LF_FreeAcc_X_spec_centroid,45.575014,0.000000,0.058333,Small,Yes
LF_Acc_X_spec_centroid,45.575014,0.000000,0.058333,Small,Yes
LB_FreeAcc_X_spec_centroid,45.352520,0.000000,0.058036,Small,Yes
