feature,healthy_median,healthy_mean,healthy_std,healthy_n,ortho_median,ortho_mean,ortho_std,ortho_n,neuro_median,neuro_mean,neuro_std,neuro_n,direction,kw_stat,kw_p,healthy_vs_ortho_p,healthy_vs_ortho_r,healthy_vs_neuro_p,healthy_vs_neuro_r,ortho_vs_neuro_p,ortho_vs_neuro_r,h_vs_n_direction,h_vs_n_concordance,h_vs_o_direction,h_vs_o_concordance
duration_s,10.666,11.342484884270194,9.533773560688548,73,15.834375000000001,17.09160533910534,10.591622541654305,44,31.1,36.11580257680916,19.40429310630542,143,↑ H<O<N,150.9042081155262,1.7043844361665633e-33,0.013807129778625107,0.27210460772104605,4.440905534667871e-28,0.91435961298975,2.4697241200737476e-16,0.8181818181818181,H < N,1.0,H < O,0.7954545454545454
RF_FreeAcc_Z__spec_centroid_hz,3.983051104102217,3.8959536345502856,0.8372818347973007,73,4.153535156376091,4.192046462651402,0.5196168479377996,44,2.5536221341262686,2.620673003717426,0.5537580837778071,143,∧ peak-ortho,135.81874293239446,3.21613820191008e-30,0.12245323026627773,0.17123287671232879,1.1721007178705847e-20,-0.775840597758406,1.2229531149919655e-20,-0.9297520661157024,H > N,0.951048951048951,H < O,0.5454545454545454
RF_Acc_Z__spec_centroid_hz,3.98305110410221,3.8959536345502856,0.8372818347973012,73,4.153535156376091,4.192046462651402,0.5196168479378004,44,2.553622134126269,2.6206730037174264,0.5537580837778073,143,∧ peak-ortho,135.81874293239446,3.21613820191008e-30,0.12245323026627773,0.17123287671232879,1.1721007178705847e-20,-0.775840597758406,1.2229531149919655e-20,-0.9297520661157024,H > N,0.951048951048951,H < O,0.5454545454545454
HE_FreeAcc_Y__spec_centroid_hz,2.3578380425264482,2.304023394838792,0.705140325946928,73,2.840082049134093,2.885298455926136,0.40486512947031794,44,1.3464938436028617,1.4251629597206605,0.43203700706075027,143,∧ peak-ortho,131.6064176802813,2.642588308340788e-29,7.022558009488315e-06,0.4975093399750934,5.319824642473358e-16,-0.6746814829006609,1.661525413025387e-22,-0.9742530197075652,H > N,0.965034965034965,H < O,0.8863636363636364
LF_Acc_Z__spec_centroid_hz,4.058108116951836,3.9081291994746845,0.8014946506700746,73,4.107065880268188,4.099449653518133,0.5146507392746612,44,2.6594845558961158,2.721699356717499,0.5648082081327437,143,∧ peak-ortho,129.1791054790201,8.894338558588246e-29,0.33737227069531395,0.10647571606475714,1.1585056262459691e-19,-0.7553405498610979,5.57525989139486e-20,-0.9135410044500953,H > N,0.965034965034965,H < O,0.5681818181818182
LF_FreeAcc_Z__spec_centroid_hz,4.058108116951835,3.9081291994746845,0.8014946506700744,73,4.107065880268189,4.099449653518132,0.5146507392746595,44,2.659484555896113,2.7216993567175,0.5648082081327439,143,∧ peak-ortho,129.1791054790201,8.894338558588246e-29,0.33737227069531395,0.10647571606475714,1.1585056262459691e-19,-0.7553405498610979,5.57525989139486e-20,-0.9135410044500953,H > N,0.965034965034965,H < O,0.5681818181818182
LF_FreeAcc_X__spec_centroid_hz,3.2614090890289007,3.039617598697504,0.6405280844348967,73,3.423876519810508,3.4193595975887603,0.4568700667442084,44,2.0293868327414395,2.1714830735773427,0.5117894977420253,143,∧ peak-ortho,120.07056255579016,8.452956255815883e-27,0.007336468718737864,0.29701120797011205,1.0650789555648898e-16,-0.6907749784462114,8.925437201261574e-20,-0.9084551811824539,H > N,0.965034965034965,H < O,0.6818181818181818
LF_Acc_X__spec_centroid_hz,3.2614090890288976,3.039617598697504,0.6405280844348968,73,3.4238765198105074,3.4193595975887607,0.45687006674420844,44,2.02938683274144,2.1714830735773427,0.5117894977420256,143,∧ peak-ortho,120.07056255579016,8.452956255815883e-27,0.007336468718737864,0.29701120797011205,1.0650789555648898e-16,-0.6907749784462114,8.925437201261574e-20,-0.9084551811824539,H > N,0.965034965034965,H < O,0.6818181818181818
RF_FreeAcc_X__spec_centroid_hz,3.2517772570402377,3.0253322985714046,0.6669213673636153,73,3.421674547967037,3.4469738621249992,0.4456824580378716,44,1.9760055574248194,2.1225928803703407,0.46820291978221434,143,∧ peak-ortho,118.3216824761663,2.0266236459594798e-26,0.007715054225854123,0.2951432129514321,1.129529040931034e-15,-0.6670179135932561,2.0952755320410788e-20,-0.9240305149396058,H > N,0.9440559440559441,H < O,0.6363636363636364
RF_Acc_X__spec_centroid_hz,3.2517772570402337,3.0253322985714055,0.666921367363616,73,3.4216745479670405,3.4469738621249975,0.4456824580378714,44,1.9760055574248205,2.12259288037034,0.46820291978221434,143,∧ peak-ortho,118.3216824761663,2.0266236459594798e-26,0.007715054225854123,0.2951432129514321,1.129529040931034e-15,-0.6670179135932561,2.0952755320410788e-20,-0.9240305149396058,H > N,0.9440559440559441,H < O,0.6363636363636364
LB_FreeAcc_Y__spec_centroid_hz,4.423263787937283,4.516028108821059,1.3166367877694873,73,3.946387965988169,3.963204866442331,1.2241300348773938,44,2.4924734528395454,2.5879796205819474,0.8625981774322572,143,↓ H>O>N,110.54265875289639,9.907558477412905e-25,0.06454372036899976,-0.2048567870485678,2.4853835863816904e-22,-0.8091771242456174,7.910333355700944e-11,-0.64907819453274,H > N,0.965034965034965,H > O,0.6363636363636364
LB_Acc_Y__spec_centroid_hz,4.423263787937282,4.516028108821059,1.3166367877694873,73,3.946387965988166,3.963204866442331,1.224130034877394,44,2.4924734528395467,2.5879796205819474,0.8625981774322572,143,↓ H>O>N,110.54265875289639,9.907558477412905e-25,0.06454372036899976,-0.2048567870485678,2.4853835863816904e-22,-0.8091771242456174,7.910333355700944e-11,-0.64907819453274,H > N,0.965034965034965,H > O,0.6363636363636364
HE_FreeAcc_X__spec_centroid_hz,1.5537023102218708,1.6094351633886619,0.44056504652691686,73,1.501534474199135,1.5451141653099705,0.4653238350088287,44,2.1926680637231475,2.294880568925955,0.49293712005528,143,∨ valley-ortho,105.51807415722965,1.2219159286796665e-23,0.32064609352359363,-0.11021170610211706,4.8712558567915505e-18,0.7206628987450905,1.263781250815061e-14,0.7695486331849968,H < N,0.9790209790209791,H > O,0.5454545454545454
HE_FreeAcc_Y__dom_freq_hz,1.6931987616450854,1.5468969270689261,0.433277772782909,73,1.6316586918659768,1.4748882774592078,0.4789508492196796,44,0.8268408856649433,0.8850496229840538,0.3580458624202478,143,↓ H>O>N,103.83933271045646,2.828625157766704e-23,0.2126406011104004,-0.13823163138231642,4.9546065435515684e-20,-0.7630041191685026,1.0339797899028352e-11,-0.6789574062301336,H > N,0.965034965034965,H > O,0.6136363636363636
LF_FreeAcc_Y__spec_centroid_hz,4.4067059357349105,4.174242033539571,1.5074422069501352,73,5.097143054927587,4.997462517286724,0.9519065351648898,44,2.1220890728633273,2.400747566738906,0.9029706820189015,143,∧ peak-ortho,101.64280786132463,8.48290708939213e-23,0.006742401685024679,0.3001245330012453,1.0708157614303997e-11,-0.565858798735511,7.483823637747878e-20,-0.9103623649078194,H > N,0.951048951048951,H < O,0.7727272727272727
LF_Acc_Y__spec_centroid_hz,4.406705935734917,4.174242033539571,1.5074422069501352,73,5.09714305492759,4.997462517286724,0.9519065351648895,44,2.122089072863327,2.4007475667389055,0.9029706820189013,143,∧ peak-ortho,101.64280786132463,8.48290708939213e-23,0.006742401685024679,0.3001245330012453,1.0708157614303997e-11,-0.565858798735511,7.483823637747878e-20,-0.9103623649078194,H > N,0.951048951048951,H < O,0.7727272727272727
LB_Gyr_Y__spec_power,108196.41786546135,161130.47674652445,189233.56055474535,73,123961.06479084538,174007.45591041783,171032.05679221582,44,399887.44109833695,612064.2169191703,645565.2519895881,143,↑ H<O<N,100.54466591691062,1.4689371137821395e-22,0.5452577239007059,0.06724782067247825,2.801011141368238e-19,0.7472938020883226,1.011360594923729e-11,0.6792752701843611,H < N,0.965034965034965,H < O,0.5909090909090909
RF_FreeAcc_Y__spec_centroid_hz,4.388936528842593,4.102553407486877,1.4621411341595392,73,4.95453418482753,4.85335653411583,0.9596377202607183,44,2.157901034590252,2.420050315673049,0.8472492435199287,143,∧ peak-ortho,100.18039075310071,1.7624002693170428e-22,0.025679266905782882,0.24719800747198006,1.236058224899167e-11,-0.564134495641345,7.483823637747878e-20,-0.9103623649078194,H > N,0.951048951048951,H < O,0.6590909090909091
RF_Acc_Y__spec_centroid_hz,4.388936528842597,4.102553407486876,1.462141134159539,73,4.954534184827528,4.853356534115829,0.9596377202607187,44,2.157901034590249,2.420050315673049,0.8472492435199287,143,∧ peak-ortho,100.18039075310071,1.7624002693170428e-22,0.025679266905782882,0.24719800747198006,1.236058224899167e-11,-0.564134495641345,7.483823637747878e-20,-0.9103623649078194,H > N,0.951048951048951,H < O,0.6590909090909091
HE_FreeAcc_X__dom_freq_hz,0.8594060466936038,0.9868922347984042,0.5957069840033952,73,0.7733123034452221,0.7904259155250165,0.262631734353155,44,1.7487148703781188,1.6735882655437657,0.45562978424154654,143,∨ valley-ortho,94.1338006899415,3.623305054918389e-21,0.07311096945692017,-0.19863013698630128,8.837543300275806e-12,0.5681578695277325,4.392546941515313e-18,0.8652256834075016,H < N,0.9440559440559441,H > O,0.7272727272727273
LB_FreeAcc_X__spec_centroid_hz,3.077083216118254,3.1377473206885473,0.6301102143141644,73,3.755323539335322,3.7544050249622,0.5272256161282346,44,2.478024095800937,2.6533134475326827,0.6095299027510594,143,∧ peak-ortho,89.59545562536732,3.504241343238415e-20,8.143592956673019e-07,0.5460772104607721,8.480309470584513e-09,-0.47945205479452047,2.5076624177903907e-17,-0.8452002542911634,H > N,0.8531468531468531,H < O,0.9090909090909091
LB_Acc_X__spec_centroid_hz,3.0770832161182544,3.137747320688547,0.630110214314166,73,3.755323539335323,3.7544050249622005,0.5272256161282345,44,2.4780240958009343,2.6533134475326827,0.6095299027510588,143,∧ peak-ortho,89.59545562536732,3.504241343238415e-20,8.143592956673019e-07,0.5460772104607721,8.480309470584513e-09,-0.47945205479452047,2.5076624177903907e-17,-0.8452002542911634,H > N,0.8531468531468531,H < O,0.9090909090909091
RF_Acc_X__std,6.19153848726431,6.25811181350856,1.2177191759861012,73,4.728098775308814,4.705839978848875,1.2802993416718809,44,4.322108648157678,4.259452037595139,1.2627114295035273,143,↓ H>O>N,85.33436681410228,2.9503781832168317e-19,6.694167800961955e-09,-0.6419676214196761,1.4307103743859938e-19,-0.7534246575342465,0.0898776669523158,-0.16942148760330578,H > N,0.9370629370629371,H > O,0.8863636363636364
RF_FreeAcc_X__std,6.191538487264325,6.25811181350856,1.2177191759861017,73,4.728098775308815,4.705839978848876,1.280299341671881,44,4.322108648157675,4.259452037595139,1.262711429503527,143,↓ H>O>N,85.33436681410228,2.9503781832168317e-19,6.694167800961955e-09,-0.6419676214196761,1.4307103743859938e-19,-0.7534246575342465,0.0898776669523158,-0.16942148760330578,H > N,0.9370629370629371,H > O,0.8863636363636364
LF_Acc_X__std,6.178429063836176,6.228714589444795,1.1482727569096949,73,4.765389213175867,4.673480205345455,1.3097317962681494,44,4.401450368161276,4.340231725059354,1.2439024038175355,143,↓ H>O>N,83.54721053022524,7.210306795469052e-19,3.2869409957736986e-09,-0.6550435865504358,3.451542670719783e-19,-0.7453779097614714,0.22554508874094326,-0.12110616656071205,H > N,0.9370629370629371,H > O,0.9090909090909091
