feature,kw_p,direction,kw_p_resid
duration_s,1.7043844361665633e-33,↑ H<O<N,1.7043844361665633e-33
RF_FreeAcc_Z__spec_centroid_hz,3.21613820191008e-30,∧ peak-ortho,1.3720760514933026e-20
RF_Acc_Z__spec_centroid_hz,3.21613820191008e-30,∧ peak-ortho,1.3720760514933026e-20
HE_FreeAcc_Y__spec_centroid_hz,2.642588308340788e-29,∧ peak-ortho,1.4715072048128382e-19
LF_Acc_Z__spec_centroid_hz,8.894338558588246e-29,∧ peak-ortho,5.385762384498358e-19
LF_FreeAcc_Z__spec_centroid_hz,8.894338558588246e-29,∧ peak-ortho,5.385762384498358e-19
LF_FreeAcc_X__spec_centroid_hz,8.452956255815883e-27,∧ peak-ortho,6.779784781122829e-21
LF_Acc_X__spec_centroid_hz,8.452956255815883e-27,∧ peak-ortho,6.779784781122829e-21
RF_FreeAcc_X__spec_centroid_hz,2.0266236459594798e-26,∧ peak-ortho,8.981013540642542e-20
RF_Acc_X__spec_centroid_hz,2.0266236459594798e-26,∧ peak-ortho,8.981013540642542e-20
LB_FreeAcc_Y__spec_centroid_hz,9.907558477412905e-25,↓ H>O>N,7.150362365710237e-09
LB_Acc_Y__spec_centroid_hz,9.907558477412905e-25,↓ H>O>N,7.150362365710237e-09
HE_FreeAcc_X__spec_centroid_hz,1.2219159286796665e-23,∨ valley-ortho,4.16805238367097e-12
HE_FreeAcc_Y__dom_freq_hz,2.828625157766704e-23,↓ H>O>N,3.022998984753408e-11
LF_FreeAcc_Y__spec_centroid_hz,8.48290708939213e-23,∧ peak-ortho,1.1450311494376116e-16
LF_Acc_Y__spec_centroid_hz,8.48290708939213e-23,∧ peak-ortho,1.1450311494376116e-16
LB_Gyr_Y__spec_power,1.4689371137821395e-22,↑ H<O<N,0.00833207891042741
RF_FreeAcc_Y__spec_centroid_hz,1.7624002693170428e-22,∧ peak-ortho,7.368369221059665e-16
RF_Acc_Y__spec_centroid_hz,1.7624002693170428e-22,∧ peak-ortho,7.368369221059665e-16
HE_FreeAcc_X__dom_freq_hz,3.623305054918389e-21,∨ valley-ortho,9.66799771221742e-18
LB_FreeAcc_X__spec_centroid_hz,3.504241343238415e-20,∧ peak-ortho,2.123014799638789e-14
LB_Acc_X__spec_centroid_hz,3.504241343238415e-20,∧ peak-ortho,2.123014799638789e-14
RF_Acc_X__std,2.9503781832168317e-19,↓ H>O>N,1.1312361119035204e-09
RF_FreeAcc_X__std,2.9503781832168317e-19,↓ H>O>N,1.1312361119035204e-09
LF_Acc_X__std,7.210306795469052e-19,↓ H>O>N,3.1848738426760523e-09
LF_FreeAcc_X__std,7.210306795469052e-19,↓ H>O>N,3.1848738426760523e-09
LF_FreeAcc_X__rms,1.937907738664695e-18,↓ H>O>N,1.1238654864163058e-10
RF_FreeAcc_X__rms,2.3863177220814017e-18,↓ H>O>N,7.145364509262535e-11
RF_Acc_Y__std,4.7248062226874146e-18,↓ H>O>N,1.2245219676558666e-06
RF_FreeAcc_Y__std,4.7248062226874146e-18,↓ H>O>N,1.2245219676558666e-06
LF_Acc_Y__mean,4.7753460002086886e-18,∧ peak-ortho,6.3435755390735065e-12
LB_Gyr_Z__spec_power,7.327828513475363e-18,∨ valley-ortho,6.793409404206002e-05
RF_FreeAcc_Y__rms,1.0237394121084134e-17,↓ H>O>N,5.952177493282027e-07
LB_FreeAcc_Z__spec_centroid_hz,1.9875986315889845e-17,↓ H>O>N,0.0002451339044042107
LB_Acc_Z__spec_centroid_hz,1.9875986315889845e-17,↓ H>O>N,0.0002451339044042107
LF_FreeAcc_Z__std,2.8474300772998675e-17,↓ H>O>N,9.848691982764252e-08
LF_Acc_Z__std,2.8474300772998675e-17,↓ H>O>N,9.848691982764252e-08
LF_FreeAcc_Z__rms,3.1207403956078804e-17,↓ H>O>N,7.909676542609892e-08
RF_FreeAcc_Z__dom_freq_hz,1.4680657100748206e-16,∧ peak-ortho,6.895089254049058e-05
RF_Acc_Z__dom_freq_hz,1.4680657100748206e-16,∧ peak-ortho,6.895089254049058e-05
LF_Gyr_X__spec_power,1.0360667196095561e-15,∨ valley-ortho,0.029650861854329004
RF_FreeAcc_X__mean,5.590844878194879e-15,∨ valley-ortho,5.766030331735289e-14
LB_FreeAcc_X__rms,7.694013512617644e-15,↓ H>O>N,3.09153792271703e-08
LB_Acc_X__std,8.444293687664834e-15,↓ H>O>N,4.216066554363479e-08
LB_FreeAcc_X__std,8.444293687664834e-15,↓ H>O>N,4.216066554363479e-08
RF_Gyr_Y__spec_power,9.885013063805597e-15,∨ valley-ortho,0.003121339878109563
HE_Acc_X__std,2.5670892770559793e-14,↓ H>O>N,1.122319277676869e-08
LF_Acc_Z__rms,3.09800697470217e-14,↓ H>O>N,0.0003350936923251036
LF_Acc_X__rms,3.697976741771365e-14,∨ valley-ortho,5.5190085822212945e-09
RF_Acc_Z__rms,5.929166268394546e-14,↓ H>O>N,4.929453550019601e-05
HE_Gyr_X__rms,5.954615106719091e-14,↓ H>O>N,4.4172099333145237e-07
RF_Acc_Y__mean,8.725574322166622e-14,∨ valley-ortho,6.789937447443461e-09
RF_Acc_Y__rms,1.0509360644879337e-13,↓ H>O>N,5.560990687976834e-06
LF_Gyr_Z__spec_power,1.0913830159007019e-13,∨ valley-ortho,0.02257917611766151
LF_FreeAcc_X__mean,1.1083308678268703e-13,∨ valley-ortho,2.796599995056909e-13
LF_Gyr_X__mean,1.458321135528856e-13,∧ peak-ortho,1.4549785324315354e-06
HE_Gyr_X__std,1.530394655899859e-13,↓ H>O>N,2.163207294210101e-06
RF_FreeAcc_Z__std,2.3523827778560814e-13,↓ H>O>N,3.3036457394189573e-07
RF_Acc_Z__std,2.3523827778560814e-13,↓ H>O>N,3.3036457394189573e-07
RF_FreeAcc_Z__rms,2.6615616785480585e-13,↓ H>O>N,2.804857645276043e-07
HE_Gyr_Z__rms,4.624106475040872e-13,↓ H>O>N,0.0007027154995977119
RF_Acc_X__rms,4.906377620192138e-13,∨ valley-ortho,2.8974862639336363e-09
HE_Gyr_Z__std,5.697822973404561e-13,↓ H>O>N,0.000946845962725647
HE_Acc_X__spec_centroid_hz,8.40137959969683e-13,∧ peak-ortho,1.1900097997473373e-09
LF_Gyr_Y__std,8.936153018647253e-13,∨ valley-ortho,1.1421111926387585e-09
LF_Gyr_Y__rms,9.549398828994738e-13,∨ valley-ortho,1.127158785576565e-09
LF_FreeAcc_Y__std,2.604618818197566e-12,↓ H>O>N,1.214681056183786e-05
LF_Acc_Y__std,2.604618818197566e-12,↓ H>O>N,1.214681056183786e-05
LF_Gyr_Y__spec_power,4.1789391962294195e-12,∨ valley-ortho,4.853537086082431e-05
LF_FreeAcc_Y__rms,5.5764701671871794e-12,↓ H>O>N,9.622637930880455e-06
LB_FreeAcc_Z__std,7.423742086156265e-12,↓ H>O>N,1.1054055163755586e-07
LB_Acc_Z__std,7.423742086156265e-12,↓ H>O>N,1.1054055163755586e-07
LB_Gyr_Y__rms,8.50459019477431e-12,∨ valley-ortho,9.863019291716617e-10
LB_Gyr_Y__std,1.0669030217004809e-11,∨ valley-ortho,1.1695813581286956e-09
HE_Gyr_Z__spec_centroid_hz,1.340559281455348e-11,∨ valley-ortho,2.8781879058843277e-06
RF_Gyr_X__spec_power,2.231533354230866e-11,∨ valley-ortho,5.008038261481347e-05
LB_Gyr_X__spec_power,2.7870254059849837e-11,∨ valley-ortho,0.0001585439698872464
LF_FreeAcc_Z__dom_freq_hz,2.8276533150168795e-11,↓ H>O>N,0.011444844016832613
LF_Acc_Z__dom_freq_hz,2.8276533150168795e-11,↓ H>O>N,0.011444844016832613
LB_FreeAcc_Y__dom_freq_hz,1.3805809345156546e-10,∨ valley-ortho,5.859484334337797e-05
LB_Acc_Y__dom_freq_hz,1.3805809345156546e-10,∨ valley-ortho,5.859484334337797e-05
LB_Gyr_X__rms,1.9638385099672388e-10,∨ valley-ortho,1.684256235225317e-07
RF_Gyr_Z__rms,2.2988388600010383e-10,↓ H>O>N,5.501890210105928e-05
LB_Acc_X__rms,2.5749122816210886e-10,↓ H>O>N,0.026652489150299982
RF_Gyr_Y__std,3.297786620160192e-10,∨ valley-ortho,6.391173314196395e-10
RF_Gyr_Y__rms,3.2981986140275873e-10,∨ valley-ortho,6.133780772635313e-10
RF_Gyr_Z__std,3.616320237191007e-10,↓ H>O>N,7.266119200611373e-05
LB_Gyr_X__std,5.658961220300408e-10,∨ valley-ortho,2.223073316709091e-07
LB_Acc_Y__std,7.189268988139007e-10,↓ H>O>N,0.0017414896093597358
LB_FreeAcc_Y__std,7.189268988139007e-10,↓ H>O>N,0.0017414896093597358
LB_Acc_X__mean,2.1530342706691516e-09,↓ H>O>N,0.022271403553636753
HE_FreeAcc_Y__std,2.2534188402365415e-09,↓ H>O>N,0.00024150511787655713
RF_Acc_Z__mean,2.3949599645557295e-09,↓ H>O>N,0.0007650294320498447
LB_FreeAcc_Z__rms,5.1960218892074885e-09,↓ H>O>N,2.0617605623618e-05
