phase,metric,n_healthy,n_ortho,n_neuro,median_healthy,median_ortho,median_neuro,kw_p,mw_p_H_vs_N,mw_p_H_vs_O,cohens_d_H_vs_N
pre_uturn,stride_absAI,72,44,143,0.016159693507711008,0.014517073281372264,0.012654338182803962,0.025702134645040526,0.0058909302517700666,0.30173590040972287,0.261238052446348
uturn,stride_absAI,4,13,79,0.004854368932039024,0.11014492753623185,0.07871461960606656,0.14159348436806798,0.12097931019470837,0.10168067226890756,-0.09665168581569872
post_uturn,stride_absAI,73,44,143,0.010347354045700754,0.00904075924487157,0.010870649627115581,0.31218742584402714,0.5981462496728933,0.29141347751146385,-0.2077459758890054
pre_uturn,step_absAI,72,44,143,0.03285795369495971,0.04229265349079859,0.057098620671486855,7.175279647853019e-07,3.5254189166298744e-07,0.052694872014932156,-0.730051751058992
uturn,step_absAI,4,13,79,0.18634665674073775,0.25256576567596656,0.2180924216740832,0.9908744648528418,0.8777581872204266,0.8705882352941177,-0.14259523452659564
post_uturn,step_absAI,73,44,143,0.03494790051985365,0.041971024002732144,0.06137925695530976,2.1002806994086598e-07,8.09278669642032e-08,0.16716197251426912,-0.7349136777140463
pre_uturn,stride_abs_diff,72,44,143,0.017604166666666726,0.017660714285714287,0.015316919191919132,0.21265673616162134,0.08862746858634352,0.8443736859989263,0.17914509278324303
uturn,stride_abs_diff,4,13,79,0.0050000000000002265,0.18999999999999995,0.1035714285714286,0.10681355408804549,0.1061051649992283,0.059663865546218484,-0.19787351289426436
post_uturn,stride_abs_diff,73,44,143,0.011771428571428589,0.011256944444444417,0.013140151515151466,0.36090039550774605,0.2594095523188815,0.7484157105375315,-0.27505973830725844
pre_uturn,step_CV_l,72,44,143,0.046335075779195184,0.060649811125330154,0.06907060830656997,4.301233358353685e-08,1.4957062408995857e-08,0.08835738174460722,-0.6408815877308873
uturn,step_CV_l,4,13,79,0.14723959160851954,0.13382487993347725,0.2034199533569498,0.426450833597381,0.813567549330112,0.9563025210084034,-0.0022804733661258535
post_uturn,step_CV_l,73,44,143,0.056920989169676334,0.06465448560192981,0.0787219285653418,1.590659842565953e-07,3.146828219161557e-08,0.09413562381481863,-0.6788909190513287
