phase,win_s,overlap_pct,model,bacc,f1,n_features,n_windows,n_classes
full_gait,5.0,50,SVM,0.4153782821272184,0.3588537318457619,216,14253,8
full_gait,5.0,50,XGBoost,0.3658304678268668,0.3279360975848027,216,14253,8
full_gait,5.0,50,RF,0.3519976018110473,0.3229620914326591,216,14253,8
pre_uturn,5.0,50,SVM,0.4097757808232142,0.36906560647484143,216,5927,8
pre_uturn,5.0,50,XGBoost,0.3395210212482855,0.3191401656237466,216,5927,8
pre_uturn,5.0,50,RF,0.30017129832924583,0.2725828246483781,216,5927,8
post_uturn,6.0,50,SVM,0.399350853226124,0.3518319615315114,216,3604,8
post_uturn,6.0,50,XGBoost,0.3935252116017062,0.35834664037866637,216,3604,8
post_uturn,6.0,50,RF,0.34152122248286026,0.3143917792445818,216,3604,8
uturn,1.0,50,SVM,0.3874420491669719,0.3433244415218517,216,6050,8
uturn,1.0,50,XGBoost,0.3378031151237345,0.30499201261044906,216,6050,8
uturn,1.0,50,RF,0.29247899551074974,0.268174201118204,216,6050,8
