sensor_set,model,bacc,f1,n_features
All (HE+LB+LF+RF),SVM,0.7393447180229614,0.7321784043541979,396
All (HE+LB+LF+RF),XGBoost,0.7524837369188062,0.7579603017279154,396
All (HE+LB+LF+RF),RF,0.743167542497728,0.7554232821808512,396
Feet (LF+RF),SVM,0.7058863721865715,0.680247626912225,198
Feet (LF+RF),XGBoost,0.6963814650334244,0.6979397620270608,198
Feet (LF+RF),RF,0.6653662806636055,0.6728972113680844,198
HE+LB,SVM,0.7140277052989485,0.7014194507532296,198
HE+LB,XGBoost,0.7416966558345893,0.7412020146010712,198
HE+LB,RF,0.7179672798580443,0.7314608589556002,198
RF only,SVM,0.6687282561294863,0.6416766834118626,99
RF only,XGBoost,0.6786830548171096,0.6820584993332,99
RF only,RF,0.6342519988721437,0.6484293823034567,99
LB only,SVM,0.6892311046690839,0.6683251348860652,99
LB only,XGBoost,0.6903113124850324,0.6895906303583449,99
LB only,RF,0.6444408182329053,0.6588508897530692,99
