sensor_set,n_sensors,model,bacc,f1,n_features,n_windows,n_classes
All (HE+LB+LF+RF),4,SVM,0.7579588562359266,0.7501173429141483,216,14253,3
All (HE+LB+LF+RF),4,XGBoost,0.756618768065912,0.7610994063388147,216,14253,3
All (HE+LB+LF+RF),4,RF,0.7533450145709158,0.7638325480244955,216,14253,3
Feet (LF+RF),2,SVM,0.7043103322417762,0.6744506111358306,108,14253,3
Feet (LF+RF),2,XGBoost,0.6954173692047346,0.6976303690058925,108,14253,3
Feet (LF+RF),2,RF,0.6712517944235816,0.6788626634815028,108,14253,3
LF only,1,SVM,0.6954768679106188,0.652564894687585,54,14253,3
LF only,1,XGBoost,0.6666310393561709,0.6610955159329363,54,14253,3
LF only,1,RF,0.6481821384686228,0.6531472115602812,54,14253,3
RF only,1,SVM,0.6754131252563046,0.6469575833716054,54,14253,3
RF only,1,XGBoost,0.6792157235161714,0.6829273296174301,54,14253,3
RF only,1,RF,0.6365801857875614,0.6482248101234614,54,14253,3
LB only,1,SVM,0.7097539367580408,0.6848768042894096,54,14253,3
LB only,1,XGBoost,0.69427059872828,0.6923438927216378,54,14253,3
LB only,1,RF,0.6484002367743549,0.6631843139291895,54,14253,3
HE only,1,SVM,0.7270179616313057,0.7045264210422427,54,14253,3
HE only,1,XGBoost,0.7396637849710332,0.7395902526632374,54,14253,3
HE only,1,RF,0.7315415543655825,0.7390207807634875,54,14253,3
LB+RF,2,SVM,0.7210783416904589,0.7022944497565812,108,14253,3
LB+RF,2,XGBoost,0.7031854592813533,0.7100182527493921,108,14253,3
LB+RF,2,RF,0.653307797285269,0.6724478098966019,108,14253,3
HE+LB,2,SVM,0.7285918744821726,0.7135900676182964,108,14253,3
HE+LB,2,XGBoost,0.7508463893646791,0.751796495493579,108,14253,3
HE+LB,2,RF,0.7348134471765928,0.7467490403482135,108,14253,3
