phase,sensor,win_s,bacc_ov0,bacc_best_ov25_50,delta_ov0_minus_ov
gait_full,RF,3.0,0.864033160110866,0.89062355740973,-0.026590397298864032
gait_full,ALL,3.0,0.8118870263796637,0.8427885888794302,-0.0309015624997665
post_uturn,RF,4.0,0.8069444444444445,0.889740328563858,-0.08279588411941352
post_uturn,ALL,4.0,0.797037037037037,0.8549019607843137,-0.0578649237472767
pre_uturn,RF,2.56,0.7720588235294118,,
pre_uturn,RF,3.0,0.8489417989417989,0.847365431322389,0.0015763676194099352
pre_uturn,RF,4.0,0.81005291005291,0.8995039682539684,-0.08945105820105836
pre_uturn,ALL,2.56,0.7411881419234362,,
pre_uturn,ALL,3.0,0.8518518518518517,0.8402017123856205,0.01165013946623128
pre_uturn,ALL,4.0,0.8417989417989418,0.8732539682539683,-0.031455026455026514
uturn,RF,1.0,0.5877585377585377,,
uturn,RF,1.28,0.799328249818446,,
uturn,RF,3.0,0.0,0.6,-0.6
uturn,ALL,1.0,0.6287277537277537,,
uturn,ALL,1.28,0.7436637618010167,,
uturn,ALL,3.0,0.0,0.6,-0.6
