phase,sensor,win_s,overlap,model,acc_mean,acc_std,bacc_mean,bacc_std,macro_f1_mean,macro_f1_std,auc_macro_ovr_mean,auc_macro_ovr_std,LR_acc_mean,LR_acc_std,LR_bacc_mean,LR_bacc_std,LR_f1_mean,LR_f1_std,LR_auc_mean,LR_auc_std,SVM_acc_mean,SVM_acc_std,SVM_bacc_mean,SVM_bacc_std,SVM_f1_mean,SVM_f1_std,SVM_auc_mean,SVM_auc_std,RF_acc_mean,RF_acc_std,RF_bacc_mean,RF_bacc_std,RF_f1_mean,RF_f1_std,RF_auc_mean,RF_auc_std
pre_uturn,RF,2.56,0.0,RF,0.7719649323422907,0.16720206566118742,0.7720588235294118,0.16342728508009463,0.6520741866486547,0.24722300718207524,0.5249470899470899,0.0,0.7824837636158392,0.045719052464737946,0.7184407096171803,0.11865979192509961,0.6359197859371436,0.15558907867346497,0.5553749315818282,0.0,0.7062863760976968,0.04840345839337558,0.6938854489164087,0.08069848322391004,0.5710473303681435,0.11876647550449929,0.524973544973545,0.0,0.7719649323422907,0.16720206566118742,0.7720588235294118,0.16342728508009463,0.6520741866486547,0.24722300718207524,0.5249470899470899,0.0
pre_uturn,ALL,2.56,0.0,RF,0.720440984591928,0.18377956822791983,0.7411881419234362,0.18404605785965902,0.638705233083927,0.2392758081583745,0.5916666666666667,0.0,0.7638357449678205,0.05147541931396828,0.7045518207282914,0.1253223996345726,0.620067652232584,0.15682650860524613,0.5944444444444444,0.0,0.5068097520927709,0.21655495138050446,0.5226202761806477,0.23139578901686794,0.4699484195419155,0.21872601460781135,0.36644316730523624,0.0,0.720440984591928,0.18377956822791983,0.7411881419234362,0.18404605785965902,0.638705233083927,0.2392758081583745,0.5916666666666667,0.0
pre_uturn,RF,3.0,0.0,RF,0.8612059292505757,0.07450208751142166,0.8489417989417989,0.08268285642445876,0.7564873651830174,0.15888584983857112,0.591368425635667,0.028851632084390733,0.7793499872044726,0.06845430869338236,0.746031746031746,0.12260299376080964,0.6568579965164406,0.16981279585570047,0.5738787712925645,0.03434633693254385,0.7471682513435304,0.061436778298353055,0.7373101211810891,0.07454550420932131,0.6563542073888587,0.12070542153109552,0.461602981492144,0.04208182576409175,0.8612059292505757,0.07450208751142166,0.8489417989417989,0.08268285642445876,0.7564873651830174,0.15888584983857112,0.591368425635667,0.028851632084390733
pre_uturn,ALL,3.0,0.0,RF,0.8777731845115061,0.0915549162940716,0.8518518518518517,0.12250248450771281,0.770438058297883,0.19477815388389375,0.5494029996185168,0.029150391434874245,0.7630898246028465,0.06621629172711846,0.7126984126984127,0.16428379724362682,0.6198209594794035,0.21751829130400446,0.5927959811580501,0.03689377353170459,0.7464635130612808,0.025253165966433053,0.7026455026455025,0.14336378902258212,0.606970806970807,0.1948024915700605,0.3711187218182292,0.05376724789532672,0.8777731845115061,0.0915549162940716,0.8518518518518517,0.12250248450771281,0.770438058297883,0.19477815388389375,0.5494029996185168,0.029150391434874245
uturn,RF,2.56,0.0,SVM,0.33035714285714285,0.04464285714285715,0.45833333333333337,0.12500000000000003,0.2566137566137566,0.10846560846560847,0.375,0.0,0.13392857142857142,0.008928571428571425,0.08333333333333333,0.0,0.10317460317460317,0.007936507936507936,0.2916666666666667,0.0,0.33035714285714285,0.04464285714285715,0.45833333333333337,0.12500000000000003,0.2566137566137566,0.10846560846560847,0.375,0.0,0.26785714285714285,0.01785714285714285,0.41666666666666663,0.08333333333333334,0.17407407407407408,0.025925925925925936,0.375,0.0
uturn,ALL,2.56,0.0,LR,0.33035714285714285,0.04464285714285715,0.45833333333333337,0.12500000000000003,0.2566137566137566,0.10846560846560847,0.2916666666666667,0.0,0.33035714285714285,0.04464285714285715,0.45833333333333337,0.12500000000000003,0.2566137566137566,0.10846560846560847,0.2916666666666667,0.0,0.26785714285714285,0.01785714285714285,0.41666666666666663,0.08333333333333334,0.17407407407407408,0.025925925925925936,0.12499999999999999,0.0,0.3392857142857143,0.08928571428571427,0.45833333333333337,0.04166666666666666,0.25,0.04999999999999999,0.20833333333333331,0.0
uturn,RF,3.0,0.0,LR,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
uturn,ALL,3.0,0.0,LR,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
post_uturn,RF,2.56,0.0,LR,0.7634447973015502,0.034473121009266125,0.7005909618917427,0.038274285998903125,0.6630297314813498,0.053234386189642165,0.3940372795424649,0.03263239695375825,0.7634447973015502,0.034473121009266125,0.7005909618917427,0.038274285998903125,0.6630297314813498,0.053234386189642165,0.3940372795424649,0.03263239695375825,0.7925198948864844,0.03114734836216737,0.6963529638520264,0.05466020568104882,0.6736949840075972,0.06767078742779194,0.3656522422855749,0.02906797521011365,0.8146080928679957,0.04454129187234593,0.6768893531587908,0.03760809681730019,0.681670394282305,0.037114352329542744,0.3791255113470769,0.0210859189361386
post_uturn,ALL,2.56,0.0,SVM,0.867877888934552,0.02861486424919159,0.767924012462087,0.042051961678661064,0.7621238401901048,0.04044205510483861,0.3641553297335346,0.01885321626773468,0.830763151600342,0.029466775267136383,0.7559005223613331,0.03202151327311819,0.732021323835179,0.04249141019393008,0.3715460894429255,0.01186694412568456,0.867877888934552,0.02861486424919159,0.767924012462087,0.042051961678661064,0.7621238401901048,0.04044205510483861,0.3641553297335346,0.01885321626773468,0.8837072853486075,0.043743594518106,0.7649443987737627,0.04638225638681717,0.7787936794120089,0.05016165864848074,0.3660186472813825,0.015671210194806898
