phase,sensor,win_s,overlap,model,bacc_mean,macro_f1_mean
pre_uturn,RF,4.0,0.0,LR,0.81005291005291,0.7107597393311679
pre_uturn,ALL,4.0,0.0,RF,0.8417989417989418,0.7409967571257893
pre_uturn,RF,3.0,0.0,RF,0.8489417989417989,0.7564873651830174
pre_uturn,ALL,3.0,0.0,RF,0.8518518518518517,0.770438058297883
pre_uturn,RF,2.56,0.0,RF,0.7720588235294118,0.6520741866486547
pre_uturn,ALL,2.56,0.0,RF,0.7411881419234362,0.638705233083927
uturn,RF,3.0,0.0,LR,0.0,0.0
uturn,ALL,3.0,0.0,LR,0.0,0.0
uturn,RF,1.28,0.0,SVM,0.799328249818446,0.6627215981791145
uturn,ALL,1.28,0.0,RF,0.7436637618010167,0.6169171728311512
uturn,RF,1.0,0.0,LR,0.5877585377585377,0.3892057642057642
uturn,ALL,1.0,0.0,LR,0.6287277537277537,0.4291148559441242
gait_full,RF,3.0,0.0,LR,0.864033160110866,0.8580378611550208
gait_full,ALL,3.0,0.0,SVM,0.8118870263796637,0.7538994701220463
post_uturn,RF,4.0,0.0,RF,0.8069444444444445,0.7258592303753593
post_uturn,ALL,4.0,0.0,RF,0.797037037037037,0.7148457751398929
